"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","180970087","2","7.5","ppb","7","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/02/2020","AQS","180970087","2","15.1","ppb","14","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/03/2020","AQS","180970087","2","24.7","ppb","23","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/04/2020","AQS","180970087","2","9.6","ppb","8","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/05/2020","AQS","180970087","2","15.3","ppb","14","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/06/2020","AQS","180970087","2","35.5","ppb","33","Indpls.- I 70","22","92.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/07/2020","AQS","180970087","2","38.1","ppb","36","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/08/2020","AQS","180970087","2","23.9","ppb","22","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/09/2020","AQS","180970087","2","18","ppb","17","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/10/2020","AQS","180970087","2","21.2","ppb","20","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/11/2020","AQS","180970087","2","24.5","ppb","23","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/12/2020","AQS","180970087","2","13.2","ppb","12","Indpls.- I 70","23","96.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/13/2020","AQS","180970087","2","24.6","ppb","23","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/14/2020","AQS","180970087","2","26.6","ppb","25","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/15/2020","AQS","180970087","2","20.3","ppb","19","Indpls.- I 70","23","96.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/16/2020","AQS","180970087","2","16.2","ppb","15","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/17/2020","AQS","180970087","2","15.8","ppb","14","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/18/2020","AQS","180970087","2","10.1","ppb","9","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/19/2020","AQS","180970087","2","9.1","ppb","8","Indpls.- I 70","23","96.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/20/2020","AQS","180970087","2","21.8","ppb","20","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/21/2020","AQS","180970087","2","23.6","ppb","22","Indpls.- I 70","22","92.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/22/2020","AQS","180970087","2","30.2","ppb","28","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/23/2020","AQS","180970087","2","14.3","ppb","13","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/24/2020","AQS","180970087","2","19.3","ppb","18","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/25/2020","AQS","180970087","2","10.2","ppb","9","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/26/2020","AQS","180970087","2","30.1","ppb","28","Indpls.- I 70","23","96.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/27/2020","AQS","180970087","2","26.3","ppb","25","Indpls.- I 70","22","92.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"01/28/2020","AQS","180970087","2","25.9","ppb","24","Indpls.- I 70","24","100.0000","42602","Nitrogen dioxide (NO2)","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
