"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2019","AQS","220710021","1","0.3","ppm","3","I-610","18","75.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/02/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/03/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/04/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/05/2019","AQS","220710021","1","0.7","ppm","8","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/06/2019","AQS","220710021","1","0.9","ppm","10","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/07/2019","AQS","220710021","1","0.8","ppm","9","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/08/2019","AQS","220710021","1","0.6","ppm","7","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/09/2019","AQS","220710021","1","0.6","ppm","7","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/10/2019","AQS","220710021","1","0.6","ppm","7","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/11/2019","AQS","220710021","1","0.7","ppm","8","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/12/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/13/2019","AQS","220710021","1","0.2","ppm","2","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/14/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/15/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/16/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/17/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/18/2019","AQS","220710021","1","0.2","ppm","2","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/19/2019","AQS","220710021","1","0.2","ppm","2","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/20/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/21/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/22/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/23/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/24/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/25/2019","AQS","220710021","1","0.6","ppm","7","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/26/2019","AQS","220710021","1","1","ppm","11","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/27/2019","AQS","220710021","1","0.6","ppm","7","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/28/2019","AQS","220710021","1","0.6","ppm","7","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/29/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/30/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/31/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/01/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/02/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/03/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/04/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/05/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/06/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/07/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/08/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/09/2019","AQS","220710021","1","0.6","ppm","7","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/10/2019","AQS","220710021","1","0.6","ppm","7","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/11/2019","AQS","220710021","1","0.5","ppm","6","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/12/2019","AQS","220710021","1","0.5","ppm","6","I-610","3","13.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/25/2019","AQS","220710021","1","0.3","ppm","3","I-610","9","38.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/26/2019","AQS","220710021","1","0.3","ppm","3","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/27/2019","AQS","220710021","1","0.4","ppm","5","I-610","24","100.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"02/28/2019","AQS","220710021","1","0.4","ppm","5","I-610","17","71.0000","42101","Carbon monoxide","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
