"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","AQS","220710021","1","3","ppb","3","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/02/2018","AQS","220710021","1","5.6","ppb","5","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/03/2018","AQS","220710021","1","5","ppb","5","I-610","22","92.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/04/2018","AQS","220710021","1","14.8","ppb","13","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/05/2018","AQS","220710021","1","39.7","ppb","37","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/06/2018","AQS","220710021","1","33.2","ppb","31","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/07/2018","AQS","220710021","1","12","ppb","11","I-610","21","88.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/08/2018","AQS","220710021","1","30.2","ppb","28","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/09/2018","AQS","220710021","1","9.3","ppb","8","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/10/2018","AQS","220710021","1","18.4","ppb","17","I-610","22","92.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/11/2018","AQS","220710021","1","21.5","ppb","20","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/12/2018","AQS","220710021","1","13.2","ppb","12","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/13/2018","AQS","220710021","1","2.9","ppb","2","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/14/2018","AQS","220710021","1","36.8","ppb","34","I-610","22","92.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/15/2018","AQS","220710021","1","34.2","ppb","32","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/16/2018","AQS","220710021","1","29.5","ppb","27","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/17/2018","AQS","220710021","1","3.3","ppb","3","I-610","22","92.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/18/2018","AQS","220710021","1","44.8","ppb","42","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/19/2018","AQS","220710021","1","44.7","ppb","42","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/20/2018","AQS","220710021","1","31.5","ppb","29","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/21/2018","AQS","220710021","1","29.6","ppb","27","I-610","21","88.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/22/2018","AQS","220710021","1","34.5","ppb","32","I-610","23","96.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/23/2018","AQS","220710021","1","15.2","ppb","14","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/24/2018","AQS","220710021","1","28.3","ppb","26","I-610","22","92.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/25/2018","AQS","220710021","1","45.6","ppb","42","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
"01/26/2018","AQS","220710021","1","30.8","ppb","28","I-610","24","100.0000","42602","Nitrogen dioxide (NO2)","35380","New Orleans-Metairie, LA","22","Louisiana","071","Orleans","29.996013","-90.11819"
