"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","390610040","1","0.031","ppm","29","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/02/2020","AQS","390610040","1","0.026","ppm","24","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/03/2020","AQS","390610040","1","0.014","ppm","13","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/04/2020","AQS","390610040","1","0.028","ppm","26","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/05/2020","AQS","390610040","1","0.029","ppm","27","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/06/2020","AQS","390610040","1","0.023","ppm","21","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/07/2020","AQS","390610040","1","0.027","ppm","25","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/08/2020","AQS","390610040","1","0.031","ppm","29","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/09/2020","AQS","390610040","1","0.035","ppm","32","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/10/2020","AQS","390610040","1","0.028","ppm","26","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/11/2020","AQS","390610040","1","0.027","ppm","25","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/12/2020","AQS","390610040","1","0.023","ppm","21","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/13/2020","AQS","390610040","1","0.017","ppm","16","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/14/2020","AQS","390610040","1","0.016","ppm","15","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/15/2020","AQS","390610040","1","0.023","ppm","21","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/16/2020","AQS","390610040","1","0.028","ppm","26","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/17/2020","AQS","390610040","1","0.023","ppm","21","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/18/2020","AQS","390610040","1","0.029","ppm","27","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/19/2020","AQS","390610040","1","0.025","ppm","23","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/20/2020","AQS","390610040","1","0.031","ppm","29","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/21/2020","AQS","390610040","1","0.035","ppm","32","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/22/2020","AQS","390610040","1","0.025","ppm","23","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/23/2020","AQS","390610040","1","0.017","ppm","16","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/24/2020","AQS","390610040","1","0.017","ppm","16","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/25/2020","AQS","390610040","1","0.022","ppm","20","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/26/2020","AQS","390610040","1","0.028","ppm","26","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/27/2020","AQS","390610040","1","0.027","ppm","25","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/28/2020","AQS","390610040","1","0.023","ppm","21","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/29/2020","AQS","390610040","1","0.025","ppm","23","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/30/2020","AQS","390610040","1","0.023","ppm","21","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
"01/31/2020","AQS","390610040","1","0.01","ppm","9","Taft NCore","17","100.0000","44201","Ozone","17140","Cincinnati, OH-KY-IN","39","Ohio","061","Hamilton","39.12886","-84.50404"
