,day,day_2018,day_2019,num_flight_Day,num_flight_Day_18,num_flight_Day_19,AVG 18/19,2020 Diff from PAST
0,2/1/2020,2/1/2018,2/1/2019,1414,19438,20045,19739.1669,-18325.1669
1,2/2/2020,2/2/2018,2/2/2019,1679,19587,14965,17120.73173,-15441.73173
2,2/3/2020,2/3/2018,2/3/2019,2145,14704,16850,15740.47013,-13595.47013
3,2/4/2020,2/4/2018,2/4/2019,2051,16383,19977,18090.96987,-16039.96987
4,2/5/2020,2/5/2018,2/5/2019,2090,19409,18663,19032.34528,-16942.34528
5,2/6/2020,2/6/2018,2/6/2019,2144,18299,19123,18706.46351,-16562.46351
6,2/7/2020,2/7/2018,2/7/2019,2147,18837,19976,19398.14197,-17251.14197
7,2/8/2020,2/8/2018,2/8/2019,1455,19429,20051,19737.54997,-18282.54997
8,2/9/2020,2/9/2018,2/9/2019,1945,19560,15291,17294.27535,-15349.27535
9,2/10/2020,2/10/2018,2/10/2019,2148,14897,18610,16650.32042,-14502.32042
10,2/11/2020,2/11/2018,2/11/2019,2058,18094,19993,19019.81446,-16961.81446
11,2/12/2020,2/12/2018,2/12/2019,2120,19383,18709,19043.01833,-16923.01833
12,2/13/2020,2/13/2018,2/13/2019,2158,18321,19330,18818.7388,-16660.7388
13,2/14/2020,2/14/2018,2/14/2019,2175,17896,20416,19114.51637,-16939.51637
14,2/15/2020,2/15/2018,2/15/2019,1473,19854,20561,20204.40779,-18731.40779
15,2/16/2020,2/16/2018,2/16/2019,1603,20059,15883,17849.28842,-16246.28842
16,2/17/2020,2/17/2018,2/17/2019,2064,15721,17794,16725.41402,-14661.41402
17,2/18/2020,2/18/2018,2/18/2019,2117,17645,20276,18914.80954,-16797.80954
18,2/19/2020,2/19/2018,2/19/2019,2142,19909,19741,19824.82204,-17682.82204
19,2/20/2020,2/20/2018,2/20/2019,2161,19491,20037,19762.11444,-17601.11444
20,2/21/2020,2/21/2018,2/21/2019,2172,19675,20480,20073.46507,-17901.46507
21,2/22/2020,2/22/2018,2/22/2019,1550,19983,20531,20255.14683,-18705.14683
22,2/23/2020,2/23/2018,2/23/2019,1961,20036,16264,18051.74518,-16090.74518
23,2/24/2020,2/24/2018,2/24/2019,2168,16043,19269,17582.16616,-15414.16616
24,2/25/2020,2/25/2018,2/25/2019,2107,18941,20485,19697.87768,-17590.87768
25,2/26/2020,2/26/2018,2/26/2019,2130,19967,19773,19869.76323,-17739.76323
26,2/27/2020,2/27/2018,2/27/2019,2157,19495,19536,19515.48923,-17358.48923
27,2/28/2020,2/28/2018,2/28/2019,2169,19675,20546,20105.78399,-17936.78399
29,3/1/2020,3/1/2018,3/1/2019,1962,19999,20580,20287.42024,-18325.42024
30,3/2/2020,3/2/2018,3/2/2019,2171,20225,16889,18481.8837,-16310.8837
31,3/3/2020,3/3/2018,3/3/2019,2096,16128,19802,17870.83255,-15774.83255
32,3/4/2020,3/4/2018,3/4/2019,2137,18978,20880,19906.29649,-17769.29649
33,3/5/2020,3/5/2018,3/5/2019,2137,20161,20120,20140.48957,-18003.48957
34,3/6/2020,3/6/2018,3/6/2019,2168,19673,20464,20064.60246,-17896.60246
35,3/7/2020,3/7/2018,3/7/2019,1516,19924,21174,20539.49308,-19023.49308
36,3/8/2020,3/8/2018,3/8/2019,1957,20417,21351,20878.77791,-18921.77791
37,3/9/2020,3/9/2018,3/9/2019,2189,20609,17867,19189.08552,-17000.08552
38,3/10/2020,3/10/2018,3/10/2019,2128,17180,20537,18783.65406,-16655.65406
39,3/11/2020,3/11/2018,3/11/2019,2161,19885,21350,20604.48374,-18443.48374
40,3/12/2020,3/12/2018,3/12/2019,2222,20605,20696,20650.44987,-18428.44987
41,3/13/2020,3/13/2018,3/13/2019,2240,20161,20963,20558.08948,-18318.08948
42,3/14/2020,3/14/2018,3/14/2019,1638,20377,21410,20887.11493,-19249.11493
43,3/15/2020,3/15/2018,3/15/2019,2029,20688,21459,21069.97371,-19040.97371
44,3/16/2020,3/16/2018,3/16/2019,2245,20694,17973,19285.57134,-17040.57134
45,3/17/2020,3/17/2018,3/17/2019,2203,17260,20598,18855.27725,-16652.27725
46,3/18/2020,3/18/2018,3/18/2019,2213,19937,21339,20626.09132,-18413.09132
47,3/19/2020,3/19/2018,3/19/2019,2241,20608,20698,20652.95098,-18411.95098
48,3/20/2020,3/20/2018,3/20/2019,2247,20172,20947,20555.84793,-18308.84793
49,3/21/2020,3/21/2018,3/21/2019,1646,20375,21320,20842.1448,-19196.1448
50,3/22/2020,3/22/2018,3/22/2019,2031,20691,21356,21020.87049,-18989.87049
51,3/23/2020,3/23/2018,3/23/2019,2199,20706,17885,19243.87721,-17044.87721
52,3/24/2020,3/24/2018,3/24/2019,2119,17231,20507,18797.76894,-16678.76894
53,3/25/2020,3/25/2018,3/25/2019,2057,19931,21305,20606.55126,-18549.55126
54,3/26/2020,3/26/2018,3/26/2019,2021,20618,20676,20646.97963,-18625.97963
55,3/27/2020,3/27/2018,3/27/2019,2002,20167,20923,20541.52236,-18539.52236
56,3/28/2020,3/28/2018,3/28/2019,1488,20357,21314,20830.00475,-19342.00475
57,3/29/2020,3/29/2018,3/29/2019,1776,20628,21348,20984.91229,-19208.91229
58,3/30/2020,3/30/2018,3/30/2019,1865,20624,17881,19203.58675,-17338.58675
59,3/31/2020,3/31/2018,3/31/2019,1684,16978,20462,18638.77238,-16954.77238
