Date,Counts
2020-01-01,6
2020-01-02,14
2020-01-03,19
2020-01-04,4
2020-01-05,11
2020-01-06,14
2020-01-07,14
2020-01-08,13
2020-01-09,9
2020-01-10,12
2020-01-11,5
2020-01-12,11
2020-01-13,19
2020-01-14,12
2020-01-15,12
2020-01-16,13
2020-01-17,12
2020-01-18,6
2020-01-19,10
2020-01-20,16
2020-01-21,21
2020-01-22,17
2020-01-23,8
2020-01-24,11
2020-01-25,8
2020-01-26,11
2020-01-27,13
2020-01-28,7
2020-01-29,21
2020-01-30,10
2020-01-31,14
2020-02-01,6
2020-02-02,8
2020-02-03,17
2020-02-04,15
2020-02-05,15
2020-02-06,15
2020-02-07,20
2020-02-08,5
2020-02-09,17
2020-02-10,21
2020-02-11,20
2020-02-12,18
2020-02-13,26
2020-02-14,15
2020-02-15,13
2020-02-16,14
2020-02-17,17
2020-02-18,13
2020-02-19,22
2020-02-20,23
2020-02-21,29
2020-02-22,16
2020-02-23,15
2020-02-24,27
2020-02-25,24
2020-02-26,29
2020-02-27,18
2020-02-28,31
2020-02-29,11
2020-03-01,14
2020-03-02,27
2020-03-03,41
2020-03-04,31
2020-03-05,31
2020-03-06,29
2020-03-07,16
2020-03-08,10
2020-03-09,49
2020-03-10,36
2020-03-11,26
2020-03-12,21
2020-03-13,27
2020-03-14,10
2020-03-15,13
2020-03-16,14
2020-03-17,12
2020-03-18,19
2020-03-19,11
2020-03-20,7
2020-03-21,4
2020-03-22,2
2020-03-23,1
2020-03-24,2
2020-03-25,5
2020-03-26,1
2020-03-27,1
2020-03-29,2
2020-03-30,3
2020-04-01,1
2020-04-02,1
2020-04-06,2
2020-04-07,1
2020-04-09,1
2020-04-13,1
2020-04-14,1
2020-04-16,2
2020-04-17,3
2020-04-18,1
2020-04-20,3
2020-04-21,2
2020-04-22,2
2020-04-23,1
2020-04-24,2
2020-04-27,4
2020-04-28,2
2020-04-29,1
2020-04-30,4
2020-05-01,6
2020-05-02,1
2020-05-03,1
2020-05-06,4
2020-05-07,2
2020-05-08,4
2020-05-09,3
2020-05-10,2
2020-05-11,5
2020-05-12,3
2020-05-13,3
2020-05-14,4
2020-05-15,4
2020-05-17,2
2020-05-18,3
2020-05-19,4
2020-05-20,5
2020-05-21,4
2020-05-22,4
2020-05-23,3
2020-05-24,1
2020-05-25,2
2020-05-26,8
2020-05-27,6
2020-05-28,3
2020-05-29,2
2020-05-30,1
2020-05-31,1
