FIPS,ID,SOCIAL_DIST_INDEX,INCOME,POPU_DENSITY,DAYS_SINCE_1ST_CASE_X,NUMBER_OF_BEDS,AVG_WEATHER,AIRPORT_SIZE,INFECTED_X,RECOVERED_X,DEAD_X,INFECTED_Y,RECOVERED_Y,DEAD_Y,GROCERY_AVG_VISITS,HEALTHCARE_AVG_VISITS,HOSPITAL_AVG_VISITS,POI_AVG_VISITS,TOTAL_POP,POP_DENSITY,CLIMATE
10001,Kent_Delaware_UnitedStates,NA,NA,NA,45,414,NA,NA,773.0,NA,27.0,1146.0,NA,48.0,1066.4761904761904,671.3333333333334,175.47619047619048,11729.238095238095,180786,308.3391142,58.9
10003,NewCastle_Delaware_UnitedStates,NA,NA,NA,52,1715,NA,NA,1829.0,NA,70.0,2619.0,NA,114.0,3812.285714285714,3868.9523809523807,534.2857142857143,44261.90476190476,558753,1310.647353,48.4
10005,Sussex_Delaware_UnitedStates,NA,NA,NA,46,507,NA,NA,2292.0,NA,62.0,3565.0,NA,108.0,1721.3333333333333,1154.6190476190477,124.85714285714286,17380.52380952381,234225,250.2156437,55.2
12001,Alachua_Florida_UnitedStates,NA,NA,NA,52,1549,NA,NA,273.0,NA,5.0,330.0,NA,6.0,2046.095238095238,2254.4285714285716,341.42857142857144,37048.57142857143,269043,307.4588255,69.1
12003,Baker_Florida_UnitedStates,NA,NA,NA,42,81,NA,NA,22.0,NA,3.0,26.0,NA,3.0,143.52380952380952,140.42857142857142,54.57142857142857,2805.3333333333335,29210,49.91199116,38
12005,Bay_Florida_UnitedStates,NA,NA,NA,42,676,NA,NA,72.0,NA,3.0,80.0,NA,3.0,1482.1904761904761,1699.1904761904761,319.57142857142856,36688.0,174705,230.3417737,38.2
12007,Bradford_Florida_UnitedStates,NA,NA,NA,41,25,NA,NA,47.0,NA,2.0,49.0,NA,2.0,17.761904761904763,0.0,0.0,84.80952380952381,28201,95.93362346,39.1
12009,Brevard_Florida_UnitedStates,NA,NA,NA,46,1867,NA,NA,289.0,NA,8.0,356.0,NA,9.0,4276.142857142857,3961.4285714285716,834.7142857142857,68410.95238095238,601942,592.8173028,72.1
12011,Broward_Florida_UnitedStates,NA,NA,NA,56,4702,NA,NA,5144.0,NA,199.0,6133.0,NA,272.0,11410.57142857143,12727.190476190477,1879.2857142857142,225198.09523809524,1952778,1617.936149,74.7
12013,Calhoun_Florida_UnitedStates,NA,NA,NA,32,15,NA,NA,8.0,NA,0.0,38.0,NA,1.0,2.238095238095238,62.714285714285715,19.523809523809526,833.2380952380952,14105,24.86188179,48.3
12015,Charlotte_Florida_UnitedStates,NA,NA,NA,54,595,NA,NA,245.0,NA,22.0,367.0,NA,40.0,917.1428571428571,1008.7619047619048,90.0952380952381,15408.57142857143,188910,277.350181,53.4
12017,Citrus_Florida_UnitedStates,NA,NA,NA,48,332,NA,NA,99.0,NA,11.0,110.0,NA,11.0,0.0,0.0,0.0,0.0,149657,257.1892959,70.9
12019,Clay_Florida_UnitedStates,NA,NA,NA,50,459,NA,NA,276.0,NA,16.0,308.0,NA,23.0,1300.0,1683.4761904761904,388.76190476190476,20923.428571428572,219252,362.5150941,49.7
12021,Collier_Florida_UnitedStates,NA,NA,NA,52,773,NA,NA,610.0,NA,21.0,915.0,NA,37.0,0.0,0.0,0.0,49.95238095238095,384902,192.5693913,73.3
12023,Columbia_Florida_UnitedStates,NA,NA,NA,41,456,NA,NA,64.0,NA,2.0,108.0,NA,2.0,296.5238095238095,214.61904761904762,88.42857142857143,4843.571428571428,71686,89.88350224,37.2
12027,DeSoto_Florida_UnitedStates,NA,NA,NA,40,49,NA,NA,30.0,NA,4.0,61.0,NA,6.0,0.0,0.0,0.0,0.0,38001,59.65057207,58.3
12031,Duval_Florida_UnitedStates,NA,NA,NA,50,3119,NA,NA,1025.0,NA,22.0,1252.0,NA,32.0,4785.571428571428,7351.0952380952385,1688.5238095238096,101168.38095238095,957755,1255.850368,73.3
12033,Escambia_Florida_UnitedStates,NA,NA,NA,47,1258,NA,NA,532.0,NA,12.0,682.0,NA,20.0,1921.3809523809523,3129.095238095238,863.1904761904761,39327.380952380954,318316,484.5816193,69
12035,Flagler_Florida_UnitedStates,NA,NA,NA,41,99,NA,NA,134.0,NA,2.0,153.0,NA,4.0,0.0,0.0,0.0,0.09523809523809523,115081,237.0499074,71.4
12037,Franklin_Florida_UnitedStates,NA,NA,NA,29,25,NA,NA,2.0,NA,0.0,2.0,NA,0.0,193.38095238095238,43.666666666666664,13.952380952380953,1548.7619047619048,12125,22.24179202,43.3
12039,Gadsden_Florida_UnitedStates,NA,NA,NA,44,24,NA,NA,103.0,NA,0.0,180.0,NA,1.0,199.52380952380952,56.19047619047619,0.0,1937.5714285714287,45660,88.4381177,68.7
12045,Gulf_Florida_UnitedStates,NA,NA,NA,31,19,NA,NA,1.0,NA,0.0,1.0,NA,0.0,157.52380952380952,92.19047619047619,22.666666666666668,1437.7142857142858,13639,24.63747653,69.7
12049,Hardee_Florida_UnitedStates,NA,NA,NA,30,25,NA,NA,22.0,NA,0.0,39.0,NA,0.0,112.80952380952381,75.61904761904762,0.0,2290.0476190476193,26937,42.23491888,72
12051,Hendry_Florida_UnitedStates,NA,NA,NA,34,25,NA,NA,92.0,NA,3.0,180.0,NA,11.0,196.9047619047619,92.66666666666667,20.285714285714285,2829.904761904762,42022,36.34167203,72.9
12053,Hernando_Florida_UnitedStates,NA,NA,NA,44,546,NA,NA,92.0,NA,5.0,105.0,NA,5.0,1509.6666666666667,1287.904761904762,267.85714285714283,18235.190476190477,193920,410.130227,71.9
12055,Highlands_Florida_UnitedStates,NA,NA,NA,41,259,NA,NA,84.0,NA,7.0,103.0,NA,8.0,469.0952380952381,1023.047619047619,213.85714285714286,9990.904761904761,106221,104.4879326,71.9
12057,Hillsborough_Florida_UnitedStates,NA,NA,NA,61,3564,NA,NA,1163.0,NA,24.0,1568.0,NA,47.0,8546.761904761905,8863.714285714286,1493.1904761904761,139870.42857142858,1471968,1442.661768,38.4
12059,Holmes_Florida_UnitedStates,NA,NA,NA,32,20,NA,NA,10.0,NA,0.0,11.0,NA,0.0,84.0952380952381,89.80952380952381,20.523809523809526,1201.1904761904761,19617,40.97501229,43.6
12061,IndianRiver_Florida_UnitedStates,NA,NA,NA,44,511,NA,NA,91.0,NA,8.0,104.0,NA,9.0,877.5238095238095,1205.047619047619,213.04761904761904,14985.761904761905,159923,318.0766259,71.7
12063,Jackson_Florida_UnitedStates,NA,NA,NA,44,66,NA,NA,14.0,NA,0.0,125.0,NA,0.0,283.6666666666667,335.5238095238095,77.85714285714286,3515.0476190476193,46414,50.55017805,35.9
12069,Lake_Florida_UnitedStates,NA,NA,NA,46,783,NA,NA,233.0,NA,13.0,249.0,NA,14.0,1425.952380952381,1172.4761904761904,11.952380952380953,18222.761904761905,367118,390.1874496,54.4
12071,Lee_Florida_UnitedStates,NA,NA,NA,56,1232,NA,NA,1067.0,NA,42.0,1385.0,NA,74.0,5108.523809523809,4112.619047619048,888.7142857142857,84549.71428571429,770577,982.774217,50.6
12073,Leon_Florida_UnitedStates,NA,NA,NA,44,822,NA,NA,226.0,NA,3.0,276.0,NA,6.0,1637.8095238095239,2378.809523809524,575.1428571428571,34609.23809523809,293582,440.2422377,65.8
12079,Madison_Florida_UnitedStates,NA,NA,NA,30,25,NA,NA,58.0,NA,2.0,62.0,NA,3.0,68.23809523809524,113.52380952380952,27.047619047619047,1306.095238095238,18493,26.56633857,49.6
12081,Manatee_Florida_UnitedStates,NA,NA,NA,55,867,NA,NA,591.0,NA,57.0,826.0,NA,79.0,3012.9523809523807,2089.809523809524,370.95238095238096,41568.71428571428,403253,542.6219353,72.4
12083,Marion_Florida_UnitedStates,NA,NA,NA,42,817,NA,NA,178.0,NA,4.0,218.0,NA,5.0,22.857142857142858,3.2857142857142856,0.0,371.76190476190476,365579,230.2089191,47.6
12085,Martin_Florida_UnitedStates,NA,NA,NA,44,366,NA,NA,197.0,NA,6.0,294.0,NA,6.0,1121.3333333333333,1081.142857142857,104.57142857142857,20645.095238095237,161000,296.1047346,59.4
12086,Miami-Dade_Florida_UnitedStates,NA,NA,NA,49,7771,NA,NA,12389.0,NA,358.0,15011.0,NA,548.0,0.0,0.0,0.0,0.0,2716940,1430.975247,74.6
12087,Monroe_Florida_UnitedStates,NA,NA,NA,43,129,NA,NA,79.0,NA,3.0,95.0,NA,3.0,970.5238095238095,396.04761904761904,77.76190476190476,18660.428571428572,74228,75.51054298,35.6
12089,Nassau_Florida_UnitedStates,NA,NA,NA,52,54,NA,NA,57.0,NA,0.0,65.0,NA,1.0,779.2857142857143,410.14285714285717,54.142857142857146,10561.42857142857,88625,136.6322949,46.2
12091,Okaloosa_Florida_UnitedStates,NA,NA,NA,55,441,NA,NA,156.0,NA,4.0,174.0,NA,5.0,1503.904761904762,886.047619047619,44.523809523809526,30014.47619047619,210738,226.5361748,68.7
12093,Okeechobee_Florida_UnitedStates,NA,NA,NA,30,100,NA,NA,12.0,NA,0.0,33.0,NA,0.0,295.14285714285717,261.85714285714283,45.57142857142857,4222.047619047619,42168,54.84172094,71.9
12095,Orange_Florida_UnitedStates,NA,NA,NA,49,4291,NA,NA,1413.0,NA,34.0,1615.0,NA,36.0,9493.42857142857,7928.476190476191,162.04761904761904,208890.52380952382,1393452,1542.598369,51.7
12097,Osceola_Florida_UnitedStates,NA,NA,NA,49,575,NA,NA,486.0,NA,7.0,608.0,NA,16.0,9.19047619047619,0.0,0.0,21.952380952380953,375751,283.0164716,34.8
12099,PalmBeach_Florida_UnitedStates,NA,NA,NA,50,3967,NA,NA,3041.0,NA,191.0,4391.0,NA,271.0,8289.761904761905,9727.47619047619,1260.0,158209.90476190476,1496770,759.8229831,74.4
12101,Pasco_Florida_UnitedStates,NA,NA,NA,52,1384,NA,NA,252.0,NA,8.0,313.0,NA,9.0,3145.6666666666665,2371.285714285714,487.9047619047619,35438.80952380953,553947,740.9235865,72.3
12103,Pinellas_Florida_UnitedStates,NA,NA,NA,52,3307,NA,NA,748.0,NA,38.0,997.0,NA,66.0,3711.904761904762,4706.523809523809,973.0952380952381,61524.09523809524,974996,3561.06374,73.2
12105,Polk_Florida_UnitedStates,NA,NA,NA,46,1580,NA,NA,500.0,NA,24.0,716.0,NA,40.0,4247.952380952381,4319.619047619048,938.2380952380952,64319.57142857143,724777,403.380614,33.6
12107,Putnam_Florida_UnitedStates,NA,NA,NA,42,99,NA,NA,108.0,NA,1.0,127.0,NA,3.0,205.04761904761904,57.0,0.0,2192.095238095238,74521,102.3809498,50
12113,SantaRosa_Florida_UnitedStates,NA,NA,NA,57,294,NA,NA,158.0,NA,8.0,182.0,NA,9.0,1033.857142857143,784.9047619047619,148.23809523809524,18371.14285714286,184313,182.1706767,68.9
12115,Sarasota_Florida_UnitedStates,NA,NA,NA,50,1277,NA,NA,365.0,NA,44.0,496.0,NA,58.0,3120.809523809524,3504.1428571428573,665.6190476190476,46871.380952380954,433742,780.4058037,72.2
12117,Seminole_Florida_UnitedStates,NA,NA,NA,51,332,NA,NA,385.0,NA,8.0,429.0,NA,11.0,4128.238095238095,2917.3333333333335,130.9047619047619,49248.0,471826,1524.578127,57.1
12119,Sumter_Florida_UnitedStates,NA,NA,NA,45,317,NA,NA,217.0,NA,14.0,250.0,NA,16.0,216.47619047619048,52.61904761904762,0.0,2128.8571428571427,132420,241.7990703,60.3
12121,Suwannee_Florida_UnitedStates,NA,NA,NA,36,25,NA,NA,139.0,NA,14.0,151.0,NA,18.0,150.28571428571428,17.61904761904762,0.0,1719.857142857143,44417,64.50784804,67.3
12123,Taylor_Florida_UnitedStates,NA,NA,NA,25,48,NA,NA,3.0,NA,0.0,3.0,NA,0.0,28.714285714285715,72.47619047619048,20.19047619047619,774.3809523809524,21569,20.67378897,32.1
12125,Union_Florida_UnitedStates,NA,NA,NA,32,145,NA,NA,5.0,NA,0.0,14.0,NA,0.0,67.14285714285714,26.095238095238095,7.0,531.4285714285714,15237,62.56054915,52.7
12127,Volusia_Florida_UnitedStates,NA,NA,NA,55,1434,NA,NA,500.0,NA,21.0,590.0,NA,30.0,1497.142857142857,1364.7619047619048,0.0,23187.619047619046,553284,502.4468981,71.7
12131,Walton_Florida_UnitedStates,NA,NA,NA,44,112,NA,NA,38.0,NA,0.0,76.0,NA,2.0,491.8095238095238,139.95238095238096,0.0,7949.333333333333,74071,71.37861,59.2
12133,Washington_Florida_UnitedStates,NA,NA,NA,36,25,NA,NA,12.0,NA,0.0,14.0,NA,0.0,48.904761904761905,113.76190476190476,34.666666666666664,1968.142857142857,25473,43.60443602,36.3
13001,Appling_Georgia_UnitedStates,NA,NA,NA,33,34,NA,NA,72.0,NA,6.0,108.0,NA,10.0,96.0,99.57142857142857,34.523809523809526,2072.0,18386,36.25544401,65.7
13005,Bacon_Georgia_UnitedStates,NA,NA,NA,34,25,NA,NA,25.0,NA,1.0,59.0,NA,2.0,226.38095238095238,101.85714285714286,50.38095238095238,1147.904761904762,11164,39.304832,65.8
13009,Baldwin_Georgia_UnitedStates,NA,NA,NA,42,280,NA,NA,226.0,NA,8.0,282.0,NA,12.0,388.57142857142856,365.3333333333333,83.0952380952381,7136.333333333333,44890,173.5752191,62.2
13013,Barrow_Georgia_UnitedStates,NA,NA,NA,45,56,NA,NA,141.0,NA,4.0,258.0,NA,8.0,573.6190476190476,309.8095238095238,45.04761904761905,8233.619047619048,83240,519.0584635,58.2
13015,Bartow_Georgia_UnitedStates,NA,NA,NA,51,119,NA,NA,323.0,NA,31.0,385.0,NA,35.0,338.57142857142856,512.1904761904761,148.66666666666666,9596.0,107738,234.4443518,58.4
13017,BenHill_Georgia_UnitedStates,NA,NA,NA,39,48,NA,NA,26.0,NA,0.0,45.0,NA,1.0,104.80952380952381,134.85714285714286,48.23809523809524,2025.3809523809523,16700,66.76778045,66.2
13019,Berrien_Georgia_UnitedStates,NA,NA,NA,33,51,NA,NA,17.0,NA,0.0,20.0,NA,0.0,217.57142857142858,86.42857142857143,25.047619047619047,1285.1904761904761,19397,42.91884358,39.7
13021,Bibb_Georgia_UnitedStates,NA,NA,NA,44,992,NA,NA,312.0,NA,10.0,391.0,NA,16.0,1067.0,1914.7619047619048,610.952380952381,21958.809523809523,153159,614.3269335,63.3
13023,Bleckley_Georgia_UnitedStates,NA,NA,NA,32,15,NA,NA,19.0,NA,0.0,33.0,NA,0.0,115.9047619047619,94.9047619047619,24.571428571428573,1268.142857142857,12873,59.63316708,64.3
13027,Brooks_Georgia_UnitedStates,NA,NA,NA,34,25,NA,NA,59.0,NA,6.0,64.0,NA,8.0,73.0,36.857142857142854,8.952380952380953,518.7142857142857,15457,31.34694058,75.5
13031,Bulloch_Georgia_UnitedStates,NA,NA,NA,34,182,NA,NA,40.0,NA,2.0,45.0,NA,2.0,258.76190476190476,577.1428571428571,127.85714285714286,10814.333333333334,79608,118.2801517,65.6
13033,Burke_Georgia_UnitedStates,NA,NA,NA,39,40,NA,NA,86.0,NA,3.0,112.0,NA,3.0,58.19047619047619,111.0952380952381,31.333333333333332,2100.904761904762,22383,27.0663595,28.2
13035,Butts_Georgia_UnitedStates,NA,NA,NA,41,25,NA,NA,153.0,NA,16.0,196.0,NA,17.0,156.33333333333334,149.8095238095238,27.238095238095237,2877.4761904761904,24936,135.6983611,61.3
13039,Camden_Georgia_UnitedStates,NA,NA,NA,40,40,NA,NA,33.0,NA,1.0,46.0,NA,1.0,397.9047619047619,339.23809523809524,72.80952380952381,5262.952380952381,54666,89.14923103,56.6
13043,Candler_Georgia_UnitedStates,NA,NA,NA,34,25,NA,NA,7.0,NA,0.0,10.0,NA,0.0,99.28571428571429,74.57142857142857,23.142857142857142,1395.095238095238,10803,44.44717183,65.3
13045,Carroll_Georgia_UnitedStates,NA,NA,NA,43,197,NA,NA,375.0,NA,14.0,408.0,NA,20.0,589.0952380952381,987.6190476190476,172.0952380952381,15381.095238095239,119992,240.4484903,49.1
13047,Catoosa_Georgia_UnitedStates,NA,NA,NA,40,36,NA,NA,48.0,NA,0.0,71.0,NA,0.0,745.5714285714286,329.8095238095238,22.761904761904763,9807.809523809523,67580,416.7419661,57.2
13051,Chatham_Georgia_UnitedStates,NA,NA,NA,43,1304,NA,NA,230.0,NA,9.0,353.0,NA,14.0,1474.2857142857142,2460.9523809523807,468.8095238095238,41234.80952380953,289430,674.568498,56.8
13053,Chattahoochee_Georgia_UnitedStates,NA,NA,NA,35,250,NA,NA,12.0,NA,0.0,19.0,NA,0.0,0.0,7.904761904761905,0.0,139.47619047619048,10907,43.84974387,64.3
13057,Cherokee_Georgia_UnitedStates,NA,NA,NA,54,114,NA,NA,474.0,NA,13.0,695.0,NA,23.0,826.5714285714286,685.3809523809524,0.42857142857142855,18337.571428571428,258773,614.5024779,64.9
13059,Clarke_Georgia_UnitedStates,NA,NA,NA,48,564,NA,NA,155.0,NA,13.0,197.0,NA,13.0,773.952380952381,1640.5238095238096,369.8095238095238,23126.238095238095,128331,1076.560914,48.6
13063,Clayton_Georgia_UnitedStates,NA,NA,NA,48,441,NA,NA,727.0,NA,33.0,999.0,NA,38.0,670.8571428571429,723.3333333333334,129.33333333333334,25354.47619047619,292256,2063.280608,37.8
13065,Clinch_Georgia_UnitedStates,NA,NA,NA,41,15,NA,NA,8.0,NA,0.0,40.0,NA,1.0,20.904761904761905,43.666666666666664,21.428571428571427,567.047619047619,6618,8.270198962,67.1
13067,Cobb_Georgia_UnitedStates,NA,NA,NA,56,1243,NA,NA,1677.0,NA,96.0,2395.0,NA,132.0,2687.095238095238,4419.285714285715,729.3333333333334,71821.66666666667,760141,2237.74733,59.1
13069,Coffee_Georgia_UnitedStates,NA,NA,NA,40,86,NA,NA,141.0,NA,7.0,192.0,NA,11.0,246.14285714285714,369.4761904761905,110.52380952380952,4738.571428571428,43273,75.19886872,54.9
13071,Colquitt_Georgia_UnitedStates,NA,NA,NA,39,127,NA,NA,187.0,NA,9.0,245.0,NA,11.0,152.33333333333334,287.6190476190476,100.57142857142857,2679.714285714286,45600,83.36598303,67
13075,Cook_Georgia_UnitedStates,NA,NA,NA,33,33,NA,NA,25.0,NA,1.0,32.0,NA,2.0,46.523809523809526,79.9047619047619,13.047619047619047,1840.4761904761904,17270,76.01212522,23.9
13077,Coweta_Georgia_UnitedStates,NA,NA,NA,50,250,NA,NA,211.0,NA,4.0,282.0,NA,4.0,648.6190476190476,1404.2380952380952,334.2857142857143,21310.190476190477,148509,336.8180459,61.5
13081,Crisp_Georgia_UnitedStates,NA,NA,NA,39,65,NA,NA,167.0,NA,3.0,193.0,NA,7.0,191.66666666666666,165.47619047619048,53.285714285714285,2786.3333333333335,22372,82.07223324,66.5
13083,Dade_Georgia_UnitedStates,NA,NA,NA,32,36,NA,NA,16.0,NA,1.0,20.0,NA,1.0,195.8095238095238,41.23809523809524,0.0,1871.0,16116,92.63149856,51.1
13087,Decatur_Georgia_UnitedStates,NA,NA,NA,38,80,NA,NA,87.0,NA,1.0,116.0,NA,3.0,0.0,0.0,0.0,0.0,26404,44.21745607,55.9
13089,DeKalb_Georgia_UnitedStates,NA,NA,NA,53,1957,NA,NA,2072.0,NA,49.0,2751.0,NA,80.0,2693.6666666666665,3435.809523809524,313.23809523809524,60960.76190476191,759297,2837.174357,54.3
13091,Dodge_Georgia_UnitedStates,NA,NA,NA,38,40,NA,NA,28.0,NA,1.0,38.0,NA,2.0,93.9047619047619,147.76190476190476,34.61904761904762,1762.4761904761904,20605,41.55103027,36.5
13095,Dougherty_Georgia_UnitedStates,NA,NA,NA,49,409,NA,NA,1530.0,NA,123.0,1662.0,NA,134.0,509.4761904761905,975.2380952380952,308.5238095238095,11965.714285714286,87956,267.6468075,67.5
13097,Douglas_Georgia_UnitedStates,NA,NA,NA,43,102,NA,NA,329.0,NA,11.0,433.0,NA,15.0,1092.5238095238096,774.1428571428571,215.38095238095238,14512.42857142857,146343,731.2978576,30.9
13099,Early_Georgia_UnitedStates,NA,NA,NA,44,15,NA,NA,214.0,NA,20.0,233.0,NA,28.0,0.0,0.0,0.0,0.0,10190,19.87928337,68.1
13103,Effingham_Georgia_UnitedStates,NA,NA,NA,43,25,NA,NA,36.0,NA,1.0,38.0,NA,1.0,356.57142857142856,371.57142857142856,57.61904761904762,5115.761904761905,64296,134.5937733,46.2
13105,Elbert_Georgia_UnitedStates,NA,NA,NA,29,52,NA,NA,24.0,NA,0.0,46.0,NA,0.0,170.23809523809524,137.71428571428572,21.952380952380953,1817.047619047619,19194,54.67481471,58.7
13107,Emanuel_Georgia_UnitedStates,NA,NA,NA,32,45,NA,NA,21.0,NA,0.0,25.0,NA,1.0,52.38095238095238,132.8095238095238,37.904761904761905,2487.6666666666665,22646,33.27330456,64.1
13109,Evans_Georgia_UnitedStates,NA,NA,NA,19,49,NA,NA,5.0,NA,0.0,4.0,NA,0.0,24.285714285714285,60.714285714285715,18.476190476190474,885.4285714285714,10654,58.26208516,65.9
13111,Fannin_Georgia_UnitedStates,NA,NA,NA,38,50,NA,NA,30.0,NA,1.0,36.0,NA,1.0,194.42857142857142,142.0,36.19047619047619,3383.6190476190477,26188,67.65681805,60.8
13113,Fayette_Georgia_UnitedStates,NA,NA,NA,53,221,NA,NA,178.0,NA,10.0,205.0,NA,11.0,794.5238095238095,982.7619047619048,2.1904761904761907,18842.47619047619,114421,588.695954,48.3
13115,Floyd_Georgia_UnitedStates,NA,NA,NA,53,435,NA,NA,145.0,NA,11.0,172.0,NA,13.0,461.6190476190476,297.04761904761904,0.0,7185.190476190476,98498,193.1623537,48.3
13117,Forsyth_Georgia_UnitedStates,NA,NA,NA,47,304,NA,NA,308.0,NA,10.0,397.0,NA,11.0,0.0,0.0,0.0,0.0,244252,1089.938724,55.1
13119,Franklin_Georgia_UnitedStates,NA,NA,NA,36,56,NA,NA,19.0,NA,1.0,31.0,NA,1.0,93.28571428571429,179.42857142857142,32.523809523809526,3548.1428571428573,23349,89.28608866,43.3
13121,Fulton_Georgia_UnitedStates,NA,NA,NA,60,3805,NA,NA,2882.0,NA,122.0,3703.0,NA,164.0,3884.7619047619046,8870.142857142857,1690.3809523809523,117779.19047619047,1063937,2019.953689,45.9
13127,Glynn_Georgia_UnitedStates,NA,NA,NA,44,401,NA,NA,58.0,NA,1.0,77.0,NA,1.0,628.8095238095239,954.8095238095239,288.1904761904762,9577.095238095239,85292,203.1737543,67
13129,Gordon_Georgia_UnitedStates,NA,NA,NA,50,69,NA,NA,113.0,NA,12.0,125.0,NA,15.0,273.1904761904762,450.6666666666667,114.0952380952381,6802.190476190476,57963,162.9052253,58.1
13131,Grady_Georgia_UnitedStates,NA,NA,NA,32,46,NA,NA,64.0,NA,4.0,90.0,NA,4.0,0.0,0.0,0.0,0.0,24633,54.19390997,56.6
13133,Greene_Georgia_UnitedStates,NA,NA,NA,39,50,NA,NA,55.0,NA,2.0,57.0,NA,6.0,218.23809523809524,93.76190476190476,20.666666666666668,1916.8095238095239,18324,47.29568892,50.2
13135,Gwinnett_Georgia_UnitedStates,NA,NA,NA,53,945,NA,NA,1846.0,NA,58.0,2597.0,NA,101.0,783.047619047619,823.3333333333334,9.476190476190476,22133.714285714286,936250,2175.104619,58
13137,Habersham_Georgia_UnitedStates,NA,NA,NA,33,53,NA,NA,327.0,NA,8.0,411.0,NA,16.0,412.85714285714283,277.76190476190476,63.666666666666664,5182.571428571428,45328,163.7923908,55.3
13139,Hall_Georgia_UnitedStates,NA,NA,NA,47,545,NA,NA,1482.0,NA,22.0,2140.0,NA,40.0,975.7619047619048,1382.4761904761904,0.0,21731.619047619046,204441,520.4920406,55.8
13143,Haralson_Georgia_UnitedStates,NA,NA,NA,36,15,NA,NA,29.0,NA,1.0,34.0,NA,2.0,244.23809523809524,162.14285714285714,43.333333333333336,3310.7619047619046,29792,105.5834476,59.6
13151,Henry_Georgia_UnitedStates,NA,NA,NA,49,215,NA,NA,492.0,NA,13.0,628.0,NA,18.0,1279.3809523809523,1260.857142857143,261.95238095238096,27680.14285714286,234561,736.198994,53.6
13153,Houston_Georgia_UnitedStates,NA,NA,NA,45,276,NA,NA,234.0,NA,14.0,314.0,NA,16.0,1418.2380952380952,1209.142857142857,202.1904761904762,21562.14285714286,157863,420.3506441,65.9
13155,Irwin_Georgia_UnitedStates,NA,NA,NA,39,34,NA,NA,15.0,NA,1.0,22.0,NA,1.0,89.9047619047619,68.61904761904762,26.285714285714285,500.9047619047619,9416,26.57170038,66.4
13157,Jackson_Georgia_UnitedStates,NA,NA,NA,38,28,NA,NA,97.0,NA,2.0,127.0,NA,3.0,503.7142857142857,636.2857142857143,25.80952380952381,12021.095238095239,72977,214.8527174,35.9
13159,Jasper_Georgia_UnitedStates,NA,NA,NA,39,12,NA,NA,22.0,NA,0.0,26.0,NA,0.0,103.57142857142857,55.333333333333336,28.095238095238095,805.2380952380952,14219,38.62133455,67.5
13161,JeffDavis_Georgia_UnitedStates,NA,NA,NA,26,25,NA,NA,20.0,NA,1.0,24.0,NA,1.0,103.9047619047619,128.0,30.952380952380953,1443.857142857143,15115,45.69639057,57.8
13163,Jefferson_Georgia_UnitedStates,NA,NA,NA,32,37,NA,NA,14.0,NA,1.0,22.0,NA,1.0,225.61904761904762,100.47619047619048,20.19047619047619,1265.952380952381,15362,29.17843448,37.9
13165,Jenkins_Georgia_UnitedStates,NA,NA,NA,35,15,NA,NA,16.0,NA,1.0,16.0,NA,1.0,32.19047619047619,42.19047619047619,19.523809523809526,486.95238095238096,8676,24.98276283,64.1
13173,Lanier_Georgia_UnitedStates,NA,NA,NA,30,25,NA,NA,9.0,NA,1.0,12.0,NA,2.0,40.666666666666664,44.57142857142857,24.428571428571427,481.42857142857144,10423,56.25185649,66.8
13175,Laurens_Georgia_UnitedStates,NA,NA,NA,44,145,NA,NA,62.0,NA,1.0,87.0,NA,1.0,372.04761904761904,715.047619047619,172.47619047619048,7210.809523809524,47546,58.89493417,58.4
13179,Liberty_Georgia_UnitedStates,NA,NA,NA,39,64,NA,NA,37.0,NA,0.0,45.0,NA,0.0,279.5238095238095,188.0952380952381,27.142857142857142,5663.428571428572,61435,118.984244,69.6
