County,State,Vulnerability_Index,FIPS
Autauga County,Alabama,110.31,1001
Baldwin County,Alabama,146.88,1003
Barbour County,Alabama,87.78,1005
Bibb County,Alabama,69.94,1007
Blount County,Alabama,92.04,1009
Bullock County,Alabama,53.81,1011
Butler County,Alabama,100.59,1013
Calhoun County,Alabama,101.11,1015
Chambers County,Alabama,98.43,1017
Cherokee County,Alabama,95.25,1019
Chilton County,Alabama,92.2,1021
Choctaw County,Alabama,59.55,1023
Clarke County,Alabama,82.68,1025
Clay County,Alabama,74.28,1027
Cleburne County,Alabama,73.24,1029
Coffee County,Alabama,95.76,1031
Colbert County,Alabama,90.21,1033
Conecuh County,Alabama,93.06,1035
Coosa County,Alabama,67.2,1037
Covington County,Alabama,80.46,1039
Crenshaw County,Alabama,81.17,1041
Cullman County,Alabama,97.59,1043
Dale County,Alabama,82.71,1045
Dallas County,Alabama,81.11,1047
DeKalb County,Alabama,84.31,1049
Elmore County,Alabama,138.56,1051
Escambia County,Alabama,129.86,1053
Etowah County,Alabama,102.61,1055
Fayette County,Alabama,74.34,1057
Franklin County,Alabama,78.25,1059
Geneva County,Alabama,73.3,1061
Greene County,Alabama,78.7,1063
Hale County,Alabama,64.61,1065
Henry County,Alabama,70,1067
Houston County,Alabama,109.23,1069
Jackson County,Alabama,99.81,1071
Jefferson County,Alabama,97.11,1073
Lamar County,Alabama,68.62,1075
Lauderdale County,Alabama,122.21,1077
Lawrence County,Alabama,89.97,1079
Lee County,Alabama,119.27,1081
Limestone County,Alabama,86.9,1083
Lowndes County,Alabama,62.09,1085
Macon County,Alabama,77.36,1087
Madison County,Alabama,92.55,1089
Marengo County,Alabama,70.45,1091
Marion County,Alabama,81.27,1093
Marshall County,Alabama,95.19,1095
Mobile County,Alabama,102.82,1097
Monroe County,Alabama,78.58,1099
Montgomery County,Alabama,94.04,1101
Morgan County,Alabama,89.31,1103
Perry County,Alabama,78.6,1105
Pickens County,Alabama,52.34,1107
Pike County,Alabama,96.53,1109
Randolph County,Alabama,76.48,1111
Russell County,Alabama,91.78,1113
Shelby County,Alabama,109.48,1115
St. Clair County,Alabama,97.61,1117
Sumter County,Alabama,74.22,1119
Talladega County,Alabama,92.69,1121
Tallapoosa County,Alabama,88.73,1123
Tuscaloosa County,Alabama,105.43,1125
Walker County,Alabama,105,1127
Washington County,Alabama,43.07,1129
Wilcox County,Alabama,58,1131
Winston County,Alabama,67.4,1133
Aleutians East Borough,Alaska,41.23,2013
Aleutians West Census Area,Alaska,53.47,2016
Anchorage Municipality,Alaska,108.73,2020
Bethel Census Area,Alaska,69.01,2050
Bristol Bay Borough,Alaska,87.42,2060
Denali Borough,Alaska,275,2068
Dillingham Census Area,Alaska,46.5,2070
Fairbanks North Star Borough,Alaska,98.73,2090
Haines Borough,Alaska,134.5,2100
Hoonah-Angoon Census Area,Alaska,145,2105
Juneau City and Borough,Alaska,98.93,2110
Kenai Peninsula Borough,Alaska,105.99,2122
Ketchikan Gateway Borough,Alaska,110.54,2130
Kodiak Island Borough,Alaska,79.29,2150
Kusilvak Census Area,Alaska,43,2158
Lake and Peninsula Borough,Alaska,121.35,2164
Matanuska-Susitna Borough,Alaska,106.64,2170
Nome Census Area,Alaska,88.41,2180
North Slope Borough,Alaska,59.07,2185
Northwest Arctic Borough,Alaska,83.14,2188
Petersburg Census Area,Alaska,74.31,2195
Prince of Wales-Hyder Census Area,Alaska,65.43,2198
Sitka City and Borough,Alaska,99.26,2220
Skagway Municipality,Alaska,226.22,2230
Southeast Fairbanks Census Area,Alaska,73.87,2240
Valdez-Cordova Census Area,Alaska,86.55,2261
Wrangell City and Borough,Alaska,75.78,2275
Yakutat City and Borough,Alaska,113.64,2282
Yukon-Koyukuk Census Area,Alaska,44.05,2290
Apache County,Arizona,52.73,4001
Cochise County,Arizona,84,4003
Coconino County,Arizona,154.37,4005
Gila County,Arizona,97.93,4007
Graham County,Arizona,88.64,4009
Greenlee County,Arizona,53.28,4011
La Paz County,Arizona,112.99,4012
Maricopa County,Arizona,103.54,4013
Mohave County,Arizona,115.15,4015
Navajo County,Arizona,100.06,4017
Pima County,Arizona,104.72,4019
Pinal County,Arizona,92.66,4021
Santa Cruz County,Arizona,101.79,4023
Yavapai County,Arizona,118.15,4025
Yuma County,Arizona,87.29,4027
Arkansas County,Arkansas,71.82,5001
Ashley County,Arkansas,64.43,5003
Baxter County,Arkansas,99.39,5005
Benton County,Arkansas,96.71,5007
Boone County,Arkansas,86.22,5009
Bradley County,Arkansas,60.08,5011
Calhoun County,Arkansas,56.34,5013
Carroll County,Arkansas,99.91,5015
Chicot County,Arkansas,52.26,5017
Clark County,Arkansas,92.18,5019
Clay County,Arkansas,79.61,5021
Cleburne County,Arkansas,106.19,5023
Cleveland County,Arkansas,43.57,5025
Columbia County,Arkansas,88.47,5027
Conway County,Arkansas,72.81,5029
Craighead County,Arkansas,102.77,5031
Crawford County,Arkansas,88.07,5033
Crittenden County,Arkansas,111.87,5035
Cross County,Arkansas,80.54,5037
Dallas County,Arkansas,63.57,5039
Desha County,Arkansas,73.4,5041
Drew County,Arkansas,85.94,5043
Faulkner County,Arkansas,105.19,5045
Franklin County,Arkansas,65.87,5047
Fulton County,Arkansas,60.47,5049
Garland County,Arkansas,134.05,5051
Grant County,Arkansas,69.26,5053
Greene County,Arkansas,97.01,5055
Hempstead County,Arkansas,76.63,5057
Hot Spring County,Arkansas,71.4,5059
Howard County,Arkansas,59.55,5061
Independence County,Arkansas,83.75,5063
Izard County,Arkansas,61.92,5065
Jackson County,Arkansas,69.94,5067
Jefferson County,Arkansas,74.93,5069
Johnson County,Arkansas,72.41,5071
Lafayette County,Arkansas,47.56,5073
Lawrence County,Arkansas,76.4,5075
Lee County,Arkansas,50.45,5077
Lincoln County,Arkansas,58.18,5079
Little River County,Arkansas,63.98,5081
Logan County,Arkansas,70.07,5083
Lonoke County,Arkansas,102.34,5085
Madison County,Arkansas,65.79,5087
Marion County,Arkansas,79.83,5089
Miller County,Arkansas,94.36,5091
Mississippi County,Arkansas,73.83,5093
Monroe County,Arkansas,92.41,5095
Montgomery County,Arkansas,89.34,5097
Nevada County,Arkansas,64.27,5099
Newton County,Arkansas,80.16,5101
Ouachita County,Arkansas,72.59,5103
Perry County,Arkansas,54.28,5105
Phillips County,Arkansas,69.67,5107
Pike County,Arkansas,80.42,5109
Poinsett County,Arkansas,78.48,5111
Polk County,Arkansas,78.41,5113
Pope County,Arkansas,92.53,5115
Prairie County,Arkansas,62.97,5117
Pulaski County,Arkansas,90.52,5119
Randolph County,Arkansas,70.31,5121
Saline County,Arkansas,86.69,5123
Scott County,Arkansas,116.13,5125
Searcy County,Arkansas,56.65,5127
Sebastian County,Arkansas,73.22,5129
Sevier County,Arkansas,93.71,5131
Sharp County,Arkansas,66.43,5133
St. Francis County,Arkansas,95.18,5135
Stone County,Arkansas,102.95,5137
Union County,Arkansas,79.49,5139
Van Buren County,Arkansas,73.79,5141
Washington County,Arkansas,104.07,5143
White County,Arkansas,97.87,5145
Woodruff County,Arkansas,61.98,5147
Yell County,Arkansas,55.75,5149
Alameda County,California,96.82,6001
Alpine County,California,237.21,6003
Amador County,California,108.92,6005
Butte County,California,102.57,6007
Calaveras County,California,105.07,6009
Colusa County,California,81.62,6011
Contra Costa County,California,100.95,6013
Del Norte County,California,97.01,6015
El Dorado County,California,124.59,6017
Fresno County,California,87.76,6019
Glenn County,California,74.25,6021
Humboldt County,California,100.6,6023
Imperial County,California,81.64,6025
Inyo County,California,140.68,6027
Kern County,California,80.23,6029
Kings County,California,84.68,6031
Lake County,California,88.09,6033
Lassen County,California,67.65,6035
Los Angeles County,California,122.14,6037
Madera County,California,74.76,6039
Marin County,California,115.69,6041
Mariposa County,California,162.68,6043
Mendocino County,California,105.59,6045
Merced County,California,78.91,6047
Modoc County,California,67.96,6049
Mono County,California,235.12,6051
Monterey County,California,93.6,6053
Napa County,California,114.77,6055
Nevada County,California,116.38,6057
Orange County,California,110.95,6059
Placer County,California,120.31,6061
Plumas County,California,91.07,6063
Riverside County,California,115.49,6065
Sacramento County,California,90.53,6067
San Benito County,California,83.2,6069
San Bernardino County,California,102.43,6071
San Diego County,California,108.61,6073
San Francisco County,California,96.66,6075
San Joaquin County,California,92.21,6077
San Luis Obispo County,California,118.48,6079
San Mateo County,California,110.33,6081
Santa Barbara County,California,109.14,6083
Santa Clara County,California,85.63,6085
Santa Cruz County,California,113.74,6087
Shasta County,California,96.7,6089
Sierra County,California,77.05,6091
Siskiyou County,California,92.82,6093
Solano County,California,103.2,6095
Sonoma County,California,106.81,6097
Stanislaus County,California,94.85,6099
Sutter County,California,95.32,6101
Tehama County,California,97.56,6103
Trinity County,California,83.26,6105
Tulare County,California,77.85,6107
Tuolumne County,California,134.59,6109
Ventura County,California,102.56,6111
Yolo County,California,80.7,6113
Yuba County,California,65.05,6115
Adams County,Colorado,91.52,8001
Alamosa County,Colorado,93.19,8003
Arapahoe County,Colorado,91.65,8005
Archuleta County,Colorado,119.41,8007
Baca County,Colorado,35.86,8009
Bent County,Colorado,51.27,8011
Boulder County,Colorado,94.22,8013
Broomfield County,Colorado,92.78,8014
Chaffee County,Colorado,152.22,8015
Cheyenne County,Colorado,52.24,8017
Clear Creek County,Colorado,203.79,8019
Conejos County,Colorado,51.99,8021
Costilla County,Colorado,78.34,8023
Crowley County,Colorado,31.96,8025
Custer County,Colorado,95.3,8027
Delta County,Colorado,77.57,8029
Denver County,Colorado,116.96,8031
Dolores County,Colorado,59.53,8033
Douglas County,Colorado,113.42,8035
Eagle County,Colorado,197.87,8037
El Paso County,Colorado,71.11,8039
Elbert County,Colorado,94.99,8041
Fremont County,Colorado,95.4,8043
Garfield County,Colorado,104.84,8045
Gilpin County,Colorado,348.83,8047
