OBJECTID,Countyname,ST_Name,ST_Abbr,ST_ID,FIPS,FatalityRa,Confirmedb,DeathsbyPo,PCTPOVALL_,Unemployme,Med_HH_Inc,State_Fata,DateChecke,EM_type,EM_date,EM_notes,url,Thumbnail,Confirmed,Deaths,Age_85,Age_80_84,Age_75_79,Age_70_74,Age_65_69,Beds_Licen,Beds_Staff,Beds_ICU,Ventilator,POP_ESTIMA,POVALL_201,Unemployed,Median_Hou,Recovered,Active,State_Conf,State_Deat,State_Reco,State_Test,AgedPop,NewCases,NewDeaths,TotalPop,NonHispWhP,BlackPop,AmIndop,AsianPop,PacIslPop,OtherPop,TwoMorPop,HispPop,Wh_Alone,Bk_Alone,AI_Alone,As_Alone,NH_Alone,SO_Alone,Two_More,Not_Hisp,Age_Less15,Age_15_24,Age_25_34,Age_Over75,Agetotal,NonHisp,Age_35_64,Age_65_74,Shape__Area,Shape__Length
1,Autauga,Alabama,AL,01,01001,1.5625,345.32,5.39558641031636,13.8,3.6,118.9591,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01001.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,192,3,815,1026,1498,2440,2271,85,55,6,2,55601,7587,942,59338,0,0,16032,583,0,195794,8050,3,0,55200,41412,10475,159,568,5,41,1012,1528,42437,10565,159,568,32,409,1030,55200,10842,7192,7064,3339,55200,53672,22052,4711,2209382006.48438,246839.865478895
2,Baldwin,Alabama,AL,01,01003,3.19148936170213,129.34,4.12802377741696,9.8,3.6,115.4508,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:41:19 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01003.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,282,9,3949,4792,7373,11410,13141,386,362,51,8,218022,21069,3393,57588,0,0,16032,583,0,195794,40665,5,0,208107,172768,19529,1398,1668,9,410,2972,9353,179526,19764,1522,1680,9,2034,3572,208107,37621,23497,23326,16114,208107,198754,82998,24551,5770469339.71875,728445.072447544
3,Barbour,Alabama,AL,01,01005,0.769230769230769,522.49,4.01913106386399,30.9,5.2,68.928,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:43:21 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01005.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,130,1,422,551,841,1305,1515,74,30,5,2,24881,6788,433,34382,0,0,16032,583,0,195794,4634,8,0,25782,11898,12199,63,85,1,86,344,1106,12216,12266,72,96,1,778,353,25782,4517,3092,3675,1814,25782,24676,9864,2820,3258643456.94141,307285.154510411
4,Bibb,Alabama,AL,01,01007,1.40845070422535,316.96,4.46428571428571,21.8,4,92.3478,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01007.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,71,1,427,488,624,842,1280,35,25,4,1,22400,4400,344,46064,0,0,16032,583,0,195794,3661,5,0,22527,16801,4974,8,37,0,0,160,547,17268,5018,8,37,0,9,187,22527,3742,3005,3075,1539,22527,21980,9044,2122,2310715490.67188,227886.963840211
5,Blount,Alabama,AL,01,01009,1.88679245283019,91.63,1.72890733056708,13.2,3.5,101.0645,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01009.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,53,1,866,1459,1776,2802,3330,25,25,6,2,57840,7527,878,50412,0,0,16032,583,0,195794,10233,2,0,57645,50232,820,124,198,18,174,818,5261,55054,862,141,198,18,437,935,57645,11112,6906,6786,4101,57645,52384,22608,6132,2456058260.14844,286306.840720805
6,Bullock,Alabama,AL,01,01011,1.70454545454545,1736.04,29.5916354310515,42.5,4.7,58.6736,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:42:44 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01011.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,176,3,175,182,248,436,575,61,30,5,1,10138,3610,224,29267,0,0,16032,583,0,195794,1616,9,0,10352,2228,7893,122,56,0,2,0,51,2276,7893,122,56,0,5,0,10352,1770,1478,1120,605,10352,10301,4368,1011,2261613871.75781,244911.307754774
7,Butler,Alabama,AL,01,01013,3.32480818414322,1986.79,66.0569105691057,24.5,4.8,74.9083,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01013.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,391,13,557,415,753,994,1087,72,44,7,2,19680,4731,427,37365,0,0,16032,583,0,195794,3806,11,0,20025,10384,9027,2,231,0,0,314,67,10414,9055,2,231,0,0,323,20025,3772,2365,2424,1725,20025,19958,7658,2081,2795264346.48828,218921.07804926
8,Calhoun,Alabama,AL,01,01015,1.97368421052632,133.01,2.62520017151308,19.5,4.7,91.0166,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01015.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,152,3,2050,2323,3524,4822,6667,486,435,30,15,114277,21719,2139,45400,0,0,16032,583,0,195794,19386,2,0,115098,83423,23618,227,1065,9,38,2515,4203,85558,23676,353,1065,9,1701,2736,115098,20564,15399,15017,7897,115098,110895,44732,11489,2300057289.77734,263083.707732383
9,Chambers,Alabama,AL,01,01017,7.05882352941176,1011.45,71.396697902722,18.7,3.9,80.0245,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:42:44 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01017.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,340,24,702,747,1185,1686,2089,115,84,15,0,33615,6181,597,39917,0,0,16032,583,0,195794,6409,2,0,33826,18872,13319,97,405,0,18,347,768,19483,13319,97,405,0,175,347,33826,5777,4485,3691,2634,33826,33058,13464,3775,2222371199.77734,207869.416000121
10,Cherokee,Alabama,AL,01,01019,6.06060606060606,126.77,7.68285187461586,16.3,3.6,84.465,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01019.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,33,2,479,528,1188,1492,1934,60,45,8,1,26032,4180,415,42132,0,0,16032,583,0,195794,5621,0,0,25853,23730,1267,236,42,0,0,180,398,23997,1267,236,55,0,90,208,25853,4194,2986,2529,2195,25853,25455,10523,3426,2275916097.33594,235526.627577957
11,Chilton,Alabama,AL,01,01021,1.0752688172043,210.63,2.26485176545195,17.3,3.6,95.3209,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01021.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,93,1,602,804,1385,2088,2048,30,26,6,2,44153,7542,703,47547,0,0,16032,583,0,195794,6927,3,0,43930,35205,4112,39,190,0,80,888,3416,36599,4148,123,190,0,1858,1012,43930,8739,5398,5829,2791,43930,40514,17037,4136,2578311153.36328,248010.691812225
12,Choctaw,Alabama,AL,01,01023,4.72972972972973,1152.56,54.5128884043299,22.1,5.5,80.0044,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:41:19 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01023.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,148,7,295,262,680,771,876,25,25,4,0,12841,2806,260,39907,0,0,16032,583,0,195794,2884,1,0,13075,7370,5570,9,13,0,5,35,73,7420,5590,9,13,0,8,35,13075,2138,1501,1326,1237,13075,13002,5226,1647,3327550049.23438,323608.879679608
13,Clarke,Alabama,AL,01,01025,1.5625,535.12,8.36120401337793,22.8,7.5,81.6764,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:41:19 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01025.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,128,2,465,630,956,1041,1534,85,56,10,2,23920,5381,570,40741,0,0,16032,583,0,195794,4626,8,0,24387,12895,11173,25,123,0,0,123,48,12935,11173,25,123,0,0,131,24387,4330,3187,2593,2051,24387,24339,9651,2575,4493452678.62109,451605.833227479
14,Clay,Alabama,AL,01,01027,7.40740740740741,203.39,15.0659133709981,17.6,3.9,78.589,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01027.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,27,2,249,332,527,740,804,45,46,4,2,13275,2285,233,39201,0,0,16032,583,0,195794,2652,0,0,13378,10740,1971,119,18,0,26,89,415,11106,1977,155,18,0,26,96,13378,2318,1775,1194,1108,13378,12963,5439,1544,2251836964.81641,244281.320968782
15,Cleburne,Alabama,AL,01,01029,7.69230769230769,86.74,6.67244945619537,16,4.2,93.2118,0,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01029.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,13,1,0,0,0,0,0,0,0,0,0,14987,2356,244,46495,0,0,0,0,0,195794,0,0,0,14938,13839,393,39,3,0,11,291,362,14068,393,39,3,0,126,309,14938,2838,1655,1706,1185,14938,14576,5936,1618,2104587305.34375,264503.892819508
16,Coffee,Alabama,AL,01,01031,0.45662100456621,421.89,1.92644820743994,13.8,3.9,110.507,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01031.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,219,1,906,967,1641,2137,2724,131,99,7,2,51909,7053,822,55122,0,0,16032,583,0,195794,8375,3,0,51288,36223,8746,581,666,0,41,1482,3549,38923,8829,617,666,0,644,1609,51288,10017,6359,6474,3514,51288,47739,20063,4861,2426650343.25391,203433.951742666
17,Colbert,Alabama,AL,01,01033,1.24223602484472,294,3.65216756144772,13.8,4.6,98.3441,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01033.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,161,2,1216,1255,2028,2910,3093,383,300,22,6,54762,7459,1074,49055,0,0,16032,583,0,195794,10502,6,0,54495,42865,8561,367,244,29,18,1062,1349,43288,8615,367,267,29,723,1206,54495,9559,6298,6496,4499,54495,53146,21640,6003,2395426527.64453,259065.633012617
18,Conecuh,Alabama,AL,01,01035,2.85714285714286,285.09,8.14531237272949,24.4,5.2,65.3816,3.63647704590818,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01035.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,35,1,312,250,511,686,948,58,44,8,0,12277,2979,235,32613,0,0,16032,583,0,195794,2707,5,0,12514,6274,5961,56,18,0,2,98,105,6369,5971,56,18,0,2,98,12514,2181,1485,1288,1073,12514,12409,4853,1634,3041213977.47656,303910.157387761
19,Coosa,Alabama,AL,01,01037,2.94117647058824,317.31,9.33271115258983,18.9,4.2,85.0484,0,05/28/2020 00:50:22,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01037.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,34,1,0,0,0,0,0,0,0,0,0,10715,1973,183,42423,0,0,0,0,0,195794,0,0,0,10855,7084,3713,8,0,0,0,0,50,7133,3713,9,0,0,0,0,10855,1496,1129,1158,1018,10855,10805,4704,1350,2455713028.03906,207602.081158296
