train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11
46,1352,12,636.142857142857,1355.52380952381,369.285714285714,14357.0952380952,181923,103.0765005,61.7,26
20,90,0,114.571428571429,245.047619047619,86.1428571428571,3235.28571428571,24460,87.41383712,56.5,0
39,126,2,247.333333333333,251.47619047619,87.1904761904762,3494.38095238095,47429,35.71697714,67.2,2
28,25,0,57.1428571428571,103.380952380952,22.6666666666667,1134.42857142857,27698,47.43887294,36.1,0
45,936,173,2701.2380952381,2614.2380952381,366.52380952381,33817.2380952381,545724,578.1783986,52.8,249
49,1101,182,0,0,0,0,565217,1021.935858,43.1,303
40,25,0,112.238095238095,86.9523809523809,31.3809523809524,1314.95238095238,25286,52.73179716,65.9,0
38,50,0,338.47619047619,193.571428571429,61.9523809523809,4514.28571428571,49962,50.96097501,29.8,0
40,25,0,0,0,0,0,29993,46.2128133,30.9,0
33,38,0,99.8571428571429,173.666666666667,63.8095238095238,1966.28571428571,13679,23.89304072,55.2,0
35,43,1,249.047619047619,289.809523809524,51.3809523809524,4091.80952380952,67493,94.55161394,58.4,3
35,25,0,28.4761904761905,50,3.95238095238095,324.761904761905,15064,37.06465171,54.2,1
35,48,0,22,15.952380952381,4.19047619047619,267.761904761905,8818,8.826789267,27.6,0
47,50,0,0,0,0,0,48910,52.47828585,49.1,0
44,160,10,614.761904761905,621.047619047619,119,9320.2380952381,66703,340.5251248,61.9,15
31,25,1,56,105,19.0952380952381,1541.47619047619,8688,21.28941367,64.1,3
4,31,0,53.6190476190476,40.4761904761905,6,833.142857142857,10264,9.766451602,61.6,0
43,25,0,10.3809523809524,20.1904761904762,8.38095238095238,154.142857142857,3975,3.902413918,35.6,0
47,974,92,1585.19047619048,1698.61904761905,159.047619047619,20228.7142857143,317417,356.5114574,40.3,127
47,120,16,164.142857142857,294.285714285714,22.3809523809524,3611.09523809524,35252,46.07546456,35.6,23
40,82,0,154.714285714286,221.095238095238,26.3333333333333,3170.47619047619,43938,89.50839272,35.9,1
37,41,3,127.619047619048,183.809523809524,28.047619047619,3326.66666666667,41569,61.74130157,57.2,3
41,340,4,604.714285714286,975.142857142857,251.142857142857,14373.8095238095,151049,329.9696498,36.3,9
33,122,0,107.428571428571,506.714285714286,151.571428571429,4079.90476190476,35618,48.17143919,40.2,0
41,1185,6,6082.38095238095,5218.85714285714,767.142857142857,87738.5714285714,868707,552.999787,76.2,10
41,25,1,98.3809523809524,48.2857142857143,15.7619047619048,1105.52380952381,9775,24.01834736,49.9,1
32,15,0,115.904761904762,94.9047619047619,24.5714285714286,1268.14285714286,12873,59.63316708,64.3,0
9,34,0,13.8571428571429,24.8095238095238,0,140.333333333333,7224,18.35441513,42.6,0
28,127,1,443.857142857143,306,66.0952380952381,4361.2380952381,78981,134.0121701,35.3,1
33,996,0,745,1760.52380952381,670.857142857143,13422.8571428571,91945,327.183279,50.4,0
24,14,0,49.7619047619048,42.7142857142857,2.76190476190476,1096.95238095238,7984,7.492482236,64.3,0
50,2018,36,2965.47619047619,3248.38095238095,740.238095238095,36852.7619047619,656955,775.0133409,58.9,53
34,12,0,16.2857142857143,42.6190476190476,0,314.142857142857,8384,13.58704121,38.9,0
7,25,0,27,12.2380952380952,5.04761904761905,352.333333333333,4059,1.061480248,52.7,0
48,170,31,0,0,0,0,124371,290.703103,44.4,49
41,25,4,260.571428571429,190.333333333333,35.1904761904762,3049.19047619048,37576,78.19579905,50,5
50,42,0,141.714285714286,250.333333333333,46.5714285714286,2761.7619047619,28157,142.6633613,49.9,0
38,25,1,179.428571428571,168.952380952381,28.7619047619048,1667.47619047619,25645,35.80379613,44.4,1
3,25,0,23.0952380952381,22.5714285714286,7.47619047619048,411.142857142857,5297,6.481569815,39.7,0
47,25,0,0,0,0,0,28892,42.05371523,51.7,0
32,15,0,18.1428571428571,11.5714285714286,1.33333333333333,99.8571428571429,3259,5.678969105,32.7,0
44,46,0,82.1904761904762,167.619047619048,44.4761904761905,1395.33333333333,19939,33.93480694,64.9,0
41,166,1,395.333333333333,770.190476190476,152.190476190476,8247.71428571429,75783,142.6214221,44.6,1
39,15,1,43.1904761904762,26,17.4285714285714,497.857142857143,8210,19.63256015,59.7,2
35,25,1,42.0476190476191,44.9523809523809,6.85714285714286,470.428571428571,11284,98.68667517,53.7,4
39,50,2,218.238095238095,93.7619047619048,20.6666666666667,1916.80952380952,18324,47.29568892,50.2,6
35,92,0,166,189.952380952381,50.8571428571429,2310.66666666667,34662,33.99390997,46.7,0
26,25,0,15.9047619047619,45.2857142857143,8.85714285714286,466.095238095238,6002,7.90952655,37.9,0
41,818,8,381.428571428571,1827.19047619048,341,17067.7142857143,117415,129.2543615,53.2,23
40,245,1,309.666666666667,300.238095238095,63.8571428571429,3623.57142857143,87839,100.3101574,36.5,1
52,3307,38,3711.90476190476,4706.52380952381,973.095238095238,61524.0952380952,974996,3561.06374,73.2,66
44,49,2,309.285714285714,289.47619047619,0,5416.85714285714,55834,50.73527866,56.6,2
46,579,16,718.857142857143,1299,239.047619047619,20622.3333333333,229211,391.4671825,68.1,18
39,1086,4,113.857142857143,320.190476190476,79.6666666666667,1924.2380952381,55949,140.1925596,58.3,5
56,1830,7,1713.7619047619,3216.14285714286,611.47619047619,52143.9523809524,411406,448.4237868,63.4,10
49,81,1,122.47619047619,157.761904761905,26.4761904761905,3317.04761904762,39842,82.97603184,35.6,1
34,182,2,258.761904761905,577.142857142857,127.857142857143,10814.3333333333,79608,118.2801517,65.6,2
32,16,0,72.1904761904762,40.5238095238095,16.952380952381,781.380952380952,21039,27.78543491,39.1,0
56,1232,42,5108.52380952381,4112.61904761905,888.714285714286,84549.7142857143,770577,982.774217,50.6,74
37,16,0,32.1428571428571,29.9047619047619,6.66666666666667,396.904761904762,14865,25.24704969,35.9,0
49,25,1,94.4285714285714,57.2380952380952,0.0952380952380952,1659.04761904762,28065,36.10842501,66.9,1
30,50,0,231.619047619048,137.333333333333,21.6666666666667,2536.71428571429,44926,52.06282831,46,1
56,2401,50,2953.42857142857,4219.52380952381,600.809523809524,51949.4761904762,904980,542.3920156,35.6,61
47,741,16,1783.19047619048,1963.38095238095,383.52380952381,52670.8571428571,354081,312.2618808,60.5,18
37,115,3,128.333333333333,210.095238095238,0,2417.7619047619,53740,95.79754629,36.3,3
22,49,0,25.7142857142857,25.3333333333333,7.71428571428571,409.714285714286,13319,2.665347912,34.9,0
35,529,23,599.619047619048,1079.85714285714,444.238095238095,10543.2380952381,102351,254.2882171,42.9,30
43,321,13,0,0,0,0,149527,309.2427221,52.8,48
1,6,0,23.7619047619048,10.1428571428571,0,206.333333333333,4939,5.934608451,34.4,0
43,171,4,223,227.857142857143,58.9047619047619,4491.90476190476,38340,64.63663432,63.5,5
35,25,0,26.5714285714286,54.6666666666667,11.3809523809524,663.190476190476,11137,47.51218688,48.8,0
29,100,1,139.952380952381,219.047619047619,43.4761904761905,2789.85714285714,36692,87.16145612,40.8,1
40,25,0,95.8095238095238,50.4285714285714,0,1446.85714285714,21492,14.3054526,56.8,0
32,25,0,82.9047619047619,70.2380952380952,22.952380952381,733.238095238095,15562,14.89133463,29.7,0
37,164,4,70.8095238095238,331.952380952381,86.0476190476191,4363.33333333333,94593,290.4413716,59.2,8
43,27,2,119.619047619048,51.1428571428571,6.85714285714286,1817.52380952381,35294,49.97897464,46.2,2
43,25,3,141.285714285714,97.2380952380952,19.5714285714286,2160.61904761905,27578,69.62256694,35.6,4
37,20,0,34.6666666666667,41.6190476190476,15.8571428571429,546.142857142857,7397,8.30974572,52.6,0
40,423,1,534.666666666667,754.761904761905,101.142857142857,8458.7619047619,130192,189.1358229,41,1
38,65,5,60.7619047619048,157.190476190476,44,1668.47619047619,41170,42.77089625,37.9,5
38,38,0,173.857142857143,131,26.3809523809524,2502.2380952381,39490,100.653916,54.9,1
47,1406,381,0,0,0,0,466372,755.8164927,40.1,494
17,25,0,181.619047619048,95.2857142857143,30.2380952380952,1290.57142857143,18685,19.00854037,63.8,0
39,25,0,93.2380952380952,32.4285714285714,16.0952380952381,558.857142857143,10417,14.98507414,63.5,2
38,83,0,349.238095238095,169.047619047619,58,3078.09523809524,46340,61.2274921,35.8,0
35,154,10,394.333333333333,346.428571428571,66.7142857142857,4667.95238095238,55508,59.20801141,59.7,18
36,25,0,37.6666666666667,18.9047619047619,11.7142857142857,233.47619047619,5704,7.914166592,54.6,0
44,153,21,435.47619047619,281.238095238095,0,5482.80952380952,69830,121.6314933,69.6,31
43,418,7,329.380952380952,339.571428571429,206.190476190476,5844.90476190476,103609,276.7205749,50.9,19
49,409,123,509.47619047619,975.238095238095,308.52380952381,11965.7142857143,87956,267.6468075,67.5,134
55,25,0,261.761904761905,162.666666666667,39.0952380952381,3240.80952380952,47935,20.86579291,36.8,0
47,325,11,2076.90476190476,1297.71428571429,188.761904761905,21844,291830,517.8158103,54.6,24
44,130,110,0,0,0,0,140488,270.8209102,55.2,137
36,87,18,227.809523809524,264.904761904762,85.8095238095238,3292.90476190476,26320,81.37606435,62.6,28
30,16,0,36.2380952380952,30.047619047619,11.2380952380952,533.52380952381,15179,20.81357492,40.5,0
37,50,0,207.190476190476,202.285714285714,74.0476190476191,1523.7619047619,15107,28.24035949,47.8,0
15,16,0,52.7142857142857,32.1904761904762,0,364.428571428571,6445,11.32016594,59.4,0
44,73,1,135,329.142857142857,102.714285714286,4370.47619047619,60520,88.86588203,52.8,1
32,20,0,22.5238095238095,142.47619047619,79.0476190476191,753.952380952381,16695,52.741253,51.3,0
54,962,6,1106.7619047619,1555.2380952381,160.333333333333,15740.2380952381,151140,246.1428238,33.9,7
16,25,0,190.952380952381,161.714285714286,28.047619047619,3520.2380952381,33167,105.1661212,55,0
34,118,0,174.904761904762,231.095238095238,6.90476190476191,2494.95238095238,50668,75.14335745,42.1,0
38,113,2,497.952380952381,642.333333333333,82.0476190476191,6854.95238095238,98451,131.3451012,40,3
42,116,2,483.666666666667,610.142857142857,62.6666666666667,8897.7619047619,64934,402.8821667,53.7,2
51,517,31,938.095238095238,1082.57142857143,166.238095238095,14948.5714285714,197974,320.1929112,42.2,38
32,20,0,84.0952380952381,89.8095238095238,20.5238095238095,1201.19047619048,19617,40.97501229,43.6,0
8,4,0,1.38095238095238,4.19047619047619,1.42857142857143,150.857142857143,5183,0.487427051,29.8,0
23,25,1,24.1428571428571,32.0476190476191,13.5238095238095,369,11128,27.24469991,66.8,2
41,25,2,62.3333333333333,148,50.0476190476191,3172.19047619048,32174,64.64006092,57.9,2
51,874,37,1120.57142857143,1338.14285714286,213,17079.380952381,294218,369.7914096,42,117
32,65,4,99.8571428571429,90.7142857142857,17.9047619047619,1902.42857142857,19259,27.63203247,67,4
42,59,1,311.095238095238,273.285714285714,68.7619047619048,3785.7619047619,46545,73.22433092,35.6,1
33,90,0,151.761904761905,145.714285714286,44.1428571428571,2111,28695,27.59930415,44.3,0
43,426,1,1036.14285714286,1960.19047619048,161.380952380952,23015.619047619,159551,397.5140485,55.6,2
41,442,9,912.238095238095,1101,109.428571428571,12853.380952381,141879,331.911996,41.7,18
49,44,0,150.571428571429,181.809523809524,37.8571428571429,3055.85714285714,25544,44.67588733,43.3,0
38,22,0,77.5238095238095,173.857142857143,55.8095238095238,1769.52380952381,16007,28.01010449,51.5,0
44,81,22,199.952380952381,524.52380952381,9.61904761904762,5381.42857142857,51527,124.0258939,36.3,30
31,220,0,365,614.571428571429,184.142857142857,6432.38095238095,42478,61.14852502,43.1,0
39,12,0,103.571428571429,55.3333333333333,28.0952380952381,805.238095238095,14219,38.62133455,67.5,0
38,35,6,187,121.761904761905,52.6190476190476,1689.2380952381,22108,25.20932769,62.6,13
57,948,240,3745.09523809524,3261.80952380952,308.428571428571,36259.5238095238,566747,3082.28635,47.7,466
38,25,0,245.333333333333,191.238095238095,46.1428571428571,3268.2380952381,28525,70.19615407,48.3,0
43,173,11,158.904761904762,102.190476190476,0,1749,106721,160.4644848,60.3,16
43,370,6,654.095238095238,1134.09523809524,123.809523809524,19280.619047619,176832,196.4245204,61.1,12
49,558,15,2035.57142857143,3132.04761904762,862.380952380952,37317.8095238095,298750,427.3605027,61.3,26
33,171,1,272.333333333333,300.333333333333,68.8571428571429,3353.52380952381,31782,55.22472621,44.3,3
47,154,11,979.333333333333,959.333333333333,112.238095238095,16204.619047619,262440,682.7234598,36.3,18
55,1434,21,1497.14285714286,1364.7619047619,0,23187.619047619,553284,502.4468981,71.7,30
39,48,0,216.904761904762,181,60.0476190476191,4263.42857142857,40224,48.56417045,41.5,0
45,98,1,332.142857142857,418.809523809524,112.142857142857,4156.66666666667,58266,118.5485861,41.9,1
34,25,1,189.238095238095,237.333333333333,63.9523809523809,3092.14285714286,34594,112.0360485,38.1,2
32,46,0,60.0476190476191,157.952380952381,51.0952380952381,1414.61904761905,19618,30.40161445,52.8,0
49,108,0,488.285714285714,544.52380952381,77.6190476190476,5740.47619047619,66911,46.79526587,43.1,0
54,2169,20,3782.52380952381,8123.28571428571,1113.66666666667,114590.476190476,1034730,1229.866392,61.8,30
43,536,23,737.095238095238,960.52380952381,45.9047619047619,16472.2857142857,134758,170.2969653,68.9,30
0,81,0,55.5714285714286,125.428571428571,4.76190476190476,1495.66666666667,26010,55.8361283,44.2,0
18,25,0,54.2380952380952,68.8571428571429,15.6666666666667,957.333333333333,14651,33.18959193,53.8,0
45,97,1,253.333333333333,518.285714285714,115.619047619048,4388.52380952381,34914,13.61667016,29.8,1
43,25,0,242.428571428571,167.619047619048,21.8095238095238,2320.14285714286,43150,33.08685441,30.9,0
36,44,0,226.380952380952,207.52380952381,38.0952380952381,1967.52380952381,17258,45.34350467,30.3,0
19,166,0,437.380952380952,310.714285714286,81.2857142857143,4223.2380952381,64487,40.4057834,44.4,0
0,25,0,208.285714285714,191.619047619048,40.7619047619048,2631.2380952381,38355,62.69852115,55.3,0
39,25,1,47.2380952380952,129.285714285714,21.2380952380952,1948.33333333333,38885,90.76203261,44,1
60,3805,122,3884.7619047619,8870.14285714286,1690.38095238095,117779.19047619,1063937,2019.953689,45.9,164
30,10,0,25.9047619047619,21.4761904761905,4.57142857142857,449.619047619048,10725,5.236851523,33.4,0
21,14,0,31.4761904761905,15.7142857142857,10,205,2979,5.173530292,43.3,0
39,166,2,1225.71428571429,940,221.238095238095,18782.7142857143,133581,542.5358251,50.3,8
41,266,6,741.904761904762,681.52380952381,96.0952380952381,8281.28571428571,141359,181.5480418,41.7,15
30,44,0,220.857142857143,155.190476190476,33.2380952380952,2172.47619047619,57300,145.9172076,64.9,1
45,1387,21,1823.90476190476,2619.7619047619,663.809523809524,33008,251565,287.0731902,37.9,26
30,43,0,161.047619047619,65.7619047619048,16.5238095238095,953.571428571429,29649,40.44859212,36.8,0
39,26,0,67.1428571428571,82.6666666666667,32.5238095238095,922.619047619048,12337,13.87989869,55.8,0
50,612,17,857.047619047619,1163.2380952381,30.3809523809524,15132.8571428571,253370,464.4743739,52.8,41
27,171,12,361.761904761905,548.666666666667,160.952380952381,5747.04761904762,37684,65.97725757,37.9,17
33,50,0,85,46.7619047619048,18.2857142857143,542.52380952381,10897,25.05320751,35.6,0
38,136,1,428.142857142857,577.809523809524,208.333333333333,4841.66666666667,38967,93.64635754,42.8,1
63,863,109,2316.80952380952,2757.95238095238,287.52380952381,38201.5714285714,822083,393.9870284,38,125
0,19,0,52.6666666666667,30.2857142857143,15.6666666666667,498.952380952381,11249,16.80075745,32.5,0
42,262,15,467.380952380952,382.571428571429,65.7142857142857,5653.57142857143,134159,189.9522891,48.3,18
