train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11
13,25,8,22.9047619047619,24.5238095238095,9.38095238095238,501.142857142857,9605,10.90461677,52,23
30,25,1,88.0952380952381,85.4285714285714,17,1672.28571428571,13758,14.10325991,59.3,1
20,22,3,39,37.7619047619048,13.9047619047619,432.857142857143,11790,3.758977508,34.9,3
49,328,150,669,633.333333333333,119,6983.04761904762,103126,233.1572684,38.2,228
50,131,40,461.333333333333,330.714285714286,103.047619047619,3724.04761904762,63888,90.57040084,37.4,52
24,25,2,67.5714285714286,38.7142857142857,14.4761904761905,871.47619047619,13957,27.32316922,49.1,2
49,575,486,9.19047619047619,0,0,21.952380952381,375751,283.0164716,34.8,608
48,94,200,0,0,0,0,111744,410.5252999,67.6,262
42,223,51,139.047619047619,233.095238095238,64.3809523809524,2449.71428571429,33395,50.41680178,67.8,74
37,88,14,68,112.047619047619,29.3333333333333,1332.38095238095,20997,37.26225311,34.9,16
23,16,9,26.8571428571429,30.4761904761905,0,183.714285714286,5213,11.89244279,33.6,9
40,50,12,228.666666666667,436,50.7142857142857,5540.90476190476,42698,39.42237131,62.7,15
49,1129,189,1500.71428571429,2147.80952380952,56.5714285714286,31190.5714285714,362924,345.3045917,65.3,242
30,25,58,68.2380952380952,113.52380952381,27.047619047619,1306.09523809524,18493,26.56633857,49.6,62
29,11,13,32.7142857142857,45.7142857142857,1.42857142857143,492.285714285714,11755,20.00339519,40.4,16
30,179,17,747.190476190476,390.571428571429,32.6666666666667,7405.95238095238,75758,84.32842826,43.2,29
52,1036,2089,952.809523809524,1900.95238095238,282,19247.5238095238,193134,239.2753356,37.6,3101
36,16,8,421.428571428571,219.47619047619,40.2857142857143,3994.38095238095,38469,94.0814571,43.3,11
56,1144,11812,1048.04761904762,1432.04761904762,204.904761904762,18415.0476190476,325789,1878.30441,43.7,12637
25,25,4,53.6190476190476,33,16.5714285714286,264.761904761905,4902,11.22588597,58.4,4
18,16,2,31.6666666666667,24.1428571428571,3.76190476190476,249.857142857143,3583,4.001276122,63.3,2
22,9,58,86.3333333333333,60.7619047619048,5.76190476190476,1283.42857142857,29579,20.95884211,32,82
30,28,2,103.619047619048,79.7619047619048,18.6190476190476,1481.66666666667,16012,26.0091074,43.6,5
46,6,19,93.7142857142857,70.1904761904762,24.1428571428571,2563.09523809524,32723,14.85806589,37.8,23
43,24,16,51.5714285714286,31.8571428571429,17.4761904761905,309.142857142857,7713,13.68251409,43.3,19
45,65,13,107.761904761905,86.0952380952381,23.952380952381,1172.09523809524,34274,76.39870014,35.9,28
52,50,4,38.4761904761905,26.1904761904762,5.23809523809524,203.238095238095,6901,12.24230439,39.9,4
42,1261,601,1455.57142857143,2120.33333333333,494,24729.0476190476,278299,530.0350232,45.1,912
33,384,262,154,449.142857142857,178.47619047619,5949.52380952381,69451,48.35154773,24.3,307
52,773,610,0,0,0,49.9523809523809,384902,192.5693913,73.3,915
19,25,2,70.2857142857143,81.7619047619048,29.2857142857143,1566.42857142857,16703,18.4472922,59.6,2
18,25,3,23.0952380952381,50.7619047619048,10.047619047619,827.857142857143,11085,17.24105786,59.4,3
32,25,14,72.0952380952381,40.6666666666667,10.047619047619,1490.7619047619,17137,46.29986639,53.8,14
51,119,323,338.571428571429,512.190476190476,148.666666666667,9596,107738,234.4443518,58.4,385
40,49,5,145.380952380952,147.809523809524,34.1904761904762,2812.28571428571,25652,44.43207925,68.8,9
44,15,214,0,0,0,0,10190,19.87928337,68.1,233
38,42,26,142,198.857142857143,0.380952380952381,3344.7619047619,41172,89.03028031,47.5,115
21,25,1,85.8571428571429,69.0476190476191,0,768.238095238095,10783,10.02796893,37.9,1
1,6,0,23.7619047619048,10.1428571428571,0,206.333333333333,4939,5.934608451,34.4,0
51,56,61,88.2857142857143,96.4285714285714,23.6666666666667,1109.14285714286,44135,30.59704485,47.7,67
19,49,5,24.2857142857143,60.7142857142857,18.4761904761905,885.428571428571,10654,58.26208516,65.9,4
31,49,4,177.857142857143,163.714285714286,48.7619047619048,1920.28571428571,16016,28.23506465,49.7,10
29,77,8,290.380952380952,162.619047619048,1.76190476190476,3576.04761904762,32832,17.74089061,59.5,9
40,362,288,1040.61904761905,887.619047619048,166.952380952381,13086.380952381,173566,347.1156962,37.4,452
38,45,30,0,0,0,0,8090,34.39173276,57.1,40
41,90,143,106.190476190476,270.333333333333,104.666666666667,4481.52380952381,34153,58.26919027,29.8,197
42,86,10,133,308.904761904762,79.5238095238095,6499.7619047619,71070,16.18380714,55.8,15
10,21,3,29.7142857142857,63.4761904761905,31.0952380952381,747.047619047619,8679,12.49457143,49.1,7
39,127,187,152.333333333333,287.619047619048,100.571428571429,2679.71428571429,45600,83.36598303,67,245
38,52,18,74.7619047619048,113.571428571429,28.8095238095238,1103.66666666667,38921,6.640764568,39.6,30
35,25,22,90.5714285714286,54.4285714285714,20.3333333333333,870.142857142857,13822,3.24851072,36.3,23
49,62,5,126.952380952381,151.52380952381,1.19047619047619,2199.57142857143,28296,76.87310142,28.9,15
52,23,2,11.9047619047619,33.8571428571429,0,315.714285714286,8332,7.517476331,58.6,8
44,1630,588,2090.90476190476,4009.38095238095,1015.38095238095,38369.2380952381,379299,577.0374153,42.9,955
35,50,8,308.52380952381,255.952380952381,73.4761904761905,4229.90476190476,30680,34.81196495,75.2,13
20,25,5,29.1428571428571,24,6.71428571428571,295.809523809524,5435,7.669709015,38.6,5
36,34,3,40.1904761904762,72.1904761904762,17.5238095238095,1247.38095238095,14672,19.0457168,59.7,3
38,8,24,245.714285714286,245,10.1904761904762,4273.14285714286,59463,131.1575733,55.3,27
38,25,13,44.4285714285714,89.5238095238095,25.7619047619048,934.380952380952,33432,51.52828912,45.5,15
47,25,14,0,0,0,0,34634,75.97802194,29.8,16
44,73,74,135,329.142857142857,102.714285714286,4370.47619047619,60520,88.86588203,52.8,88
40,86,37,0,0,0,0,61303,152.6481467,34.6,50
38,25,32,87.1428571428571,77.5238095238095,22.5714285714286,957.571428571429,16581,40.62738804,47,40
38,25,30,253.904761904762,133.666666666667,0,2806.09523809524,21290,42.00544639,48.3,36
14,25,3,72.3809523809524,180.571428571429,0,1545.42857142857,10724,14.95706531,44.4,5
