M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56
0,106.87,0,13.4,3.8,99.2194,1.62790697674419,0,212,388,372,628,789,25,25,6,2,14971,1894,295,61773,860,14,0,21502,2389,0,0,15477,12011,165,226,135,9,0,151,2780,14401,165,263,150,9,212,277,15477,3064,1832,2145,972,15477,12697,6047,1417,37023604335.2852,846288.330950073,16
1.48148148148148,550.59,8.15693951629349,14.4,3.7,95.2145,1.65844491425887,4,904,745,1052,2156,2164,60,44,8,2,49038,6955,772,49860,21285,353,0,409630,7021,1,0,47558,36770,3418,27,79,29,268,1258,5709,40019,3495,27,79,29,2414,1495,47558,10193,5995,6174,2701,47558,41849,18175,4320,1860450222.12891,225516.509666629,270
0,20.78,0,7.9,3.6,123.4222,2.2925411688731,0,553,679,1095,1457,1750,245,104,109,1,33680,2603,629,71770,9291,213,0,84488,5534,0,0,33127,30774,456,278,136,0,0,452,1031,31621,459,278,159,0,146,464,33127,6875,3834,3315,2327,33127,32096,13569,3207,2506036825.67578,200548.236371988,7
8.45921450151057,1113.59,94.2008070813509,8.8,4,118.18,7.15771442554753,532,13979,12018,14329,19757,28329,1071,948,94,42,564751,47800,11880,71961,73557,5265,0,419407,88412,46,18,563527,380020,117905,603,31152,93,1055,12002,20697,391240,120783,968,31210,198,5430,13698,563527,102657,79368,72670,40326,563527,542830,220420,48086,817048898.769531,171748.674753858,6289
3.10077519379845,429.18,13.3078266655577,13,3.4,109.3357,3.38738160218334,8,777,1144,1781,2307,3510,1442,1342,164,2,60115,7331,1014,58956,24916,844,0,364156,9519,4,1,58874,34254,17718,285,266,0,111,1677,4563,35927,17923,335,266,0,2122,2301,58874,9934,7562,6516,3702,58874,54311,25343,5817,2148694737.98828,215507.602874391,258
0,66.05,0,24.1,4.3,53.762,0,0,0,0,0,0,0,0,0,0,0,3028,718,49,32597,0,0,0,855674,0,0,0,3074,1729,239,3,9,0,0,37,1057,2489,250,20,9,0,218,88,3074,571,419,251,332,3074,2017,1124,377,3458251942.34375,235254.084391796,2
0,10.23,0,16.4,4.6,95.1271,4.53667953667954,0,485,753,985,1307,1869,25,25,4,2,19556,3166,396,45095,7252,329,0,180646,5399,0,0,19482,12176,161,315,91,0,0,377,6362,18236,179,327,91,0,178,471,19482,2935,1911,1748,2223,19482,13120,7489,3176,18143322288.7188,657791.215737819,2
0,10.63,0,13.8,3.1,86.2909,3.53430353430353,0,266,230,412,455,631,18,18,3,1,9404,1236,158,47674,481,17,0,35643,1994,0,0,9393,8542,6,234,43,13,0,134,421,8922,6,234,43,13,38,137,9393,1388,1688,941,908,9393,8972,3382,1086,29003422526.875,1163624.87074149,1
7.48987854251012,175.38,13.1359858557385,11.9,2.9,120.089,5.16936908010917,37,3605,3617,6315,9193,12003,658,533,70,15,281669,32077,4088,62343,6229,322,0,178638,34733,1,0,276733,199785,12611,10163,12159,137,464,18107,23307,215798,12860,10939,12298,170,4269,20399,276733,50296,51118,41554,13537,276733,253426,99032,21196,2169458101.51953,233736.715680973,494
0,266.95,0,16.7,3.1,81.4894,5.37609238451935,0,580,494,866,900,1558,70,40,7,2,25473,3883,334,44340,12816,689,0,165521,4398,7,0,25735,22353,1569,73,46,23,15,889,767,22929,1569,103,46,23,129,936,25735,4892,3214,3363,1940,25735,24968,9868,2458,3010729761.98828,278348.224351702,68
1.35135135135135,147.53,1.99366016068901,5.3,2.6,119.5232,3.27420726521686,1,840,836,1194,1759,2304,25,25,4,1,50159,2623,715,72645,16462,539,0,227402,6933,1,0,49807,45371,415,281,1146,2,71,452,2069,47140,420,284,1199,2,283,479,49807,9929,6180,5286,2870,49807,47738,21479,4063,1993520810.44141,189252.489709123,74
0.526315789473684,723.73,3.80911750365675,16.5,3.7,106.5532,4.40674231574309,5,1519,1731,2989,4069,5402,761,639,39,17,131264,20486,2372,53478,9077,400,0,182101,15710,1,0,126427,99738,11308,394,4820,354,271,2875,6667,103136,11418,394,4820,354,2759,3546,126427,24072,25766,16919,6239,126427,119760,43960,9471,2227038325.86719,219921.168723784,950
0,280.8,0,8.6,3.5,96.5378,0,0,0,0,0,0,0,0,0,0,0,8191,702,194,69458,0,0,0,159420,0,0,0,7968,6885,16,42,91,0,25,89,820,7617,16,42,101,0,60,132,7968,1261,731,1390,213,7968,7148,3591,782,5386135088.78906,405418.577184058,23
4.34782608695652,52.14,2.26709388791488,9.6,4.9,94.5361,4.44683568666562,3,3550,3124,4120,5435,7634,132,132,12,5,132328,12465,3190,61508,114306,5083,0,803973,23863,1,0,133852,125950,1747,207,1330,18,95,1486,3019,128237,1747,211,1400,27,420,1810,133852,25468,14961,16405,10794,133852,130833,53155,13069,2951556594.01172,256713.121410794,69
15.7142857142857,119.05,18.7078011530808,10,4.5,96.1232,6.11262298513712,11,1334,1401,1892,2485,3465,245,152,18,5,58799,5769,1396,53978,33439,2044,0,349725,10577,0,1,59299,50206,1679,154,165,9,81,1183,5822,53723,1754,158,200,9,1826,1629,59299,11023,7392,6482,4627,59299,53477,23825,5950,1895810558.92578,210539.378600625,70
